Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Switzerland,,,3451.74584960938,,,,3313.5263671875,,,,4497.48681640625,,,5308.73291015625,,5257.33447265625,,5561.72998046875,,6021.3984375,,,
France,3100.95361328125,3184.6357421875,3320.6669921875,3297.84741210938,3405.18090820312,3563.5654296875,3636.48413085938,3722.99975585938,3849.59350585938,3920.65698242188,4052.17041015625,4133.5625,4210.0361328125,4310.70947265625,4392.046875,4546.76220703125,4670.5322265625,4773.97265625,4883.2216796875,5058.0537109375,5181.845703125,,
Italy,1242.88220214844,1222.71838378906,1242.48461914062,1412.59399414062,1507.90405273438,1579.89282226562,1613.51416015625,1703.84692382812,1722.66809082031,1760.64477539062,1831.3427734375,1916.3037109375,1947.34436035156,2075.80834960938,2209.59252929688,2322.423828125,2524.31274414062,2670.65356445312,2614.68188476562,2658.89501953125,2795.5341796875,,
Poland,1483.34387207031,1533.19750976562,1595.82995605469,1629.60290527344,1563.45874023438,1614.00134277344,1626.3818359375,1608.44323730469,1697.02807617188,1679.90075683594,1752.07897949219,1868.31298828125,2054.74755859375,2158.37841796875,2304.00756835938,2994.85668945312,3079.49243164062,3159.06591796875,3260.15502929688,3558.20458984375,3721.07202148438,,
