indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6
Design Maturity,6.0,4.0,5.0,3.0,1.0,2.0
Licensing Status - CH,0.75,1.0,0.5,0.25,0.0,0.25
Design Complexity,2.0,6.0,3.0,1.0,5.0,4.0
Construction Complexity - CH,0.0,1.0,0.0,0.5,0.5,0.5
Supplier Availbility - CH,0.6,0.8,1.0,0.3999999999999999,0.1999999999999999,0.0
