name,group,min,max,unit
Design Maturity,Feasibility,1,6,Score
Licensing Status,Feasibility,1,6,Score
Supplier Availbility,Feasibility,1,6,Score
Design Complexity,Economic,1,6,Score
Construction Complexity,Economic,1,6,Score
