Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Italy,North Italy,IT-NO,227.19,299.68,50.72,35.25,entsoe.eu,false,
2024-01-01 01:00:00,Italy,North Italy,IT-NO,233.59,307.7,49.2,34.6,entsoe.eu,false,
2024-01-01 02:00:00,Italy,North Italy,IT-NO,232.51,306.73,49.4,34.44,entsoe.eu,false,
2024-01-01 03:00:00,Italy,North Italy,IT-NO,227.11,300.37,50.49,35.34,entsoe.eu,false,
2024-01-01 04:00:00,Italy,North Italy,IT-NO,224.54,296.98,51.08,36.56,entsoe.eu,false,
2024-01-01 05:00:00,Italy,North Italy,IT-NO,227.91,300.83,50.26,36.26,entsoe.eu,false,
2024-01-01 06:00:00,Italy,North Italy,IT-NO,226.72,298.27,50.7,38.51,entsoe.eu,false,
2024-01-01 07:00:00,Italy,North Italy,IT-NO,213.24,281.69,53.64,41.77,entsoe.eu,false,
2024-01-01 08:00:00,Italy,North Italy,IT-NO,206.63,273.99,54.9,45.16,entsoe.eu,false,
2024-01-01 09:00:00,Italy,North Italy,IT-NO,191.08,255.65,58.48,47.77,entsoe.eu,false,
2024-01-01 10:00:00,Italy,North Italy,IT-NO,188.14,252.67,59.11,48.16,entsoe.eu,false,
2024-01-01 11:00:00,Italy,North Italy,IT-NO,197.97,263.24,57.04,46.18,entsoe.eu,false,
2024-01-01 12:00:00,Italy,North Italy,IT-NO,206.44,273.67,54.81,43.01,entsoe.eu,false,
2024-01-01 13:00:00,Italy,North Italy,IT-NO,203.91,269.98,55.09,39.67,entsoe.eu,false,
2024-01-01 14:00:00,Italy,North Italy,IT-NO,218.62,284.86,52.2,35.97,entsoe.eu,false,
2024-01-01 15:00:00,Italy,North Italy,IT-NO,228.59,294.52,50.35,35.83,entsoe.eu,false,
2024-01-01 16:00:00,Italy,North Italy,IT-NO,218.73,273.23,55.22,43.45,entsoe.eu,false,
2024-01-01 17:00:00,Italy,North Italy,IT-NO,215.94,266.32,56.91,46.32,entsoe.eu,false,
2024-01-01 18:00:00,Italy,North Italy,IT-NO,216.46,270.0,55.85,44.53,entsoe.eu,false,
2024-01-01 19:00:00,Italy,North Italy,IT-NO,219.46,277.01,54.19,42.48,entsoe.eu,false,
2024-01-01 20:00:00,Italy,North Italy,IT-NO,225.74,287.47,52.2,39.75,entsoe.eu,false,
2024-01-01 21:00:00,Italy,North Italy,IT-NO,239.77,312.06,47.16,33.66,entsoe.eu,false,
2024-01-01 22:00:00,Italy,North Italy,IT-NO,243.79,318.97,46.1,32.57,entsoe.eu,false,
2024-01-01 23:00:00,Italy,North Italy,IT-NO,223.37,294.38,50.91,33.67,entsoe.eu,false,
2024-01-02 00:00:00,Italy,North Italy,IT-NO,212.43,280.84,53.41,34.65,entsoe.eu,false,
2024-01-02 01:00:00,Italy,North Italy,IT-NO,212.16,280.41,53.68,33.87,entsoe.eu,false,
2024-01-02 02:00:00,Italy,North Italy,IT-NO,215.75,285.07,52.68,33.07,entsoe.eu,false,
2024-01-02 03:00:00,Italy,North Italy,IT-NO,215.51,285.03,52.44,32.97,entsoe.eu,false,
2024-01-02 04:00:00,Italy,North Italy,IT-NO,231.15,304.63,48.43,31.99,entsoe.eu,false,
2024-01-02 05:00:00,Italy,North Italy,IT-NO,248.77,324.88,44.58,30.16,entsoe.eu,false,
