Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Germany,Germany,DE,134.25,178.76,82.96,81.23,entsoe.eu,false,
2024-01-01 01:00:00,Germany,Germany,DE,135.33,180.12,82.81,81.47,entsoe.eu,false,
2024-01-01 02:00:00,Germany,Germany,DE,139.14,184.74,82.32,81.29,entsoe.eu,false,
2024-01-01 03:00:00,Germany,Germany,DE,140.23,186.02,82.22,81.48,entsoe.eu,false,
2024-01-01 04:00:00,Germany,Germany,DE,140.56,186.58,82.16,81.62,entsoe.eu,false,
2024-01-01 05:00:00,Germany,Germany,DE,141.79,188.21,82.03,81.12,entsoe.eu,false,
2024-01-01 06:00:00,Germany,Germany,DE,141.27,188.03,82.12,81.56,entsoe.eu,false,
2024-01-01 07:00:00,Germany,Germany,DE,136.65,183.02,82.69,82.01,entsoe.eu,false,
2024-01-01 08:00:00,Germany,Germany,DE,131.21,177.28,83.44,82.87,entsoe.eu,false,
2024-01-01 09:00:00,Germany,Germany,DE,125.16,170.55,84.22,83.93,entsoe.eu,false,
2024-01-01 10:00:00,Germany,Germany,DE,119.99,164.74,84.9,84.55,entsoe.eu,false,
2024-01-01 11:00:00,Germany,Germany,DE,121.14,165.68,84.73,83.94,entsoe.eu,false,
2024-01-01 12:00:00,Germany,Germany,DE,124.31,169.12,84.36,82.87,entsoe.eu,false,
2024-01-01 13:00:00,Germany,Germany,DE,134.66,179.01,83.36,80.66,entsoe.eu,false,
2024-01-01 14:00:00,Germany,Germany,DE,146.02,188.22,82.52,78.11,entsoe.eu,false,
2024-01-01 15:00:00,Germany,Germany,DE,154.46,194.83,81.73,76.57,entsoe.eu,false,
2024-01-01 16:00:00,Germany,Germany,DE,163.25,199.58,81.6,76.91,entsoe.eu,false,
2024-01-01 17:00:00,Germany,Germany,DE,169.95,202.44,81.85,77.13,entsoe.eu,false,
2024-01-01 18:00:00,Germany,Germany,DE,167.73,204.45,81.4,76.83,entsoe.eu,false,
2024-01-01 19:00:00,Germany,Germany,DE,157.23,200.56,80.96,75.15,entsoe.eu,false,
2024-01-01 20:00:00,Germany,Germany,DE,157.49,203.92,80.29,74.32,entsoe.eu,false,
2024-01-01 21:00:00,Germany,Germany,DE,158.13,206.8,79.84,74.03,entsoe.eu,false,
2024-01-01 22:00:00,Germany,Germany,DE,164.3,215.39,78.82,73.14,entsoe.eu,false,
2024-01-01 23:00:00,Germany,Germany,DE,162.93,214.43,78.63,72.6,entsoe.eu,false,
2024-01-02 00:00:00,Germany,Germany,DE,163.51,214.92,78.56,71.88,entsoe.eu,false,
2024-01-02 01:00:00,Germany,Germany,DE,164.83,216.55,78.18,72.06,entsoe.eu,false,
2024-01-02 02:00:00,Germany,Germany,DE,160.95,211.41,78.63,73.08,entsoe.eu,false,
2024-01-02 03:00:00,Germany,Germany,DE,154.03,202.78,79.47,74.18,entsoe.eu,false,
2024-01-02 04:00:00,Germany,Germany,DE,148.37,195.86,79.98,75.25,entsoe.eu,false,
2024-01-02 05:00:00,Germany,Germany,DE,142.34,188.71,80.71,75.36,entsoe.eu,false,
2024-01-02 06:00:00,Germany,Germany,DE,143.07,187.87,80.6,75.42,entsoe.eu,false,
2024-01-02 07:00:00,Germany,Germany,DE,148.48,191.17,80.12,75.15,entsoe.eu,false,
2024-01-02 08:00:00,Germany,Germany,DE,159.05,198.77,79.65,74.82,entsoe.eu,false,
2024-01-02 09:00:00,Germany,Germany,DE,158.45,201.73,78.98,74.04,entsoe.eu,false,
2024-01-02 10:00:00,Germany,Germany,DE,167.15,210.26,78.2,72.68,entsoe.eu,false,
2024-01-02 11:00:00,Germany,Germany,DE,181.75,221.45,77.59,72.42,entsoe.eu,false,
2024-01-02 12:00:00,Germany,Germany,DE,181.27,223.42,77.1,71.22,entsoe.eu,false,
2024-01-02 13:00:00,Germany,Germany,DE,193.03,231.48,76.75,70.93,entsoe.eu,false,
2024-01-02 14:00:00,Germany,Germany,DE,193.15,230.31,76.91,71.05,entsoe.eu,false,
2024-01-02 15:00:00,Germany,Germany,DE,193.22,228.34,77.32,72.17,entsoe.eu,false,
