Type,Reference,Other,Value,Group,Confidence,a
best,Thermal Efficiency,Load following Capabilities,31.3,Technical,3,4.600000000000001
best,Thermal Efficiency,Discharge Burnup,32.5,Technical,3,1.3529411764705892
best,Thermal Efficiency,Net Power Output,32.5,Technical,3,1.3529411764705892
worst,Load following Capabilities,Discharge Burnup,49,Technical,3,3.4
worst,Load following Capabilities,Net Power Output,350,Technical,3,1.0
best,Capital Investment Budgeted,Operative + Fuel Costs,17000,Economic,3,5.333333333333333
best,Capital Investment Budgeted,Design Complexity,13826,Economic,3,2.5915127955944284
best,Capital Investment Budgeted,Construction Complexity,14000.0,Economic,3,2.6666666666666665
worst,Operative + Fuel Costs,Design Complexity,0.8940218,Economic,3,1.1185409572786704
worst,Operative + Fuel Costs,Construction Complexity,0.8314,Economic,3,1.2027904738994466
best,Electricity Market Benefit,GHGe Benefit,29.4,Social,3,2.016460905349794
best,Electricity Market Benefit,Percived Safety,29.6,Social,3,1.6554054054054057
best,Electricity Market Benefit,Nuclear Waste,30,Social,3,1.725352112676056
worst,GHGe Benefit,Percived Safety,1.7,Social,3,1.3750000000000002
worst,GHGe Benefit,Nuclear Waste,10,Social,3,1.232636928289102
best,Licensing Status,Design Maturity,0.52,Feasibility,2,1.923076923076923
best,Licensing Status,Supplier Availbility,0.54,Feasibility,2,1.8518518518518516
worst,Design Maturity,Supplier Availbility,0.8,Feasibility,2,1.25
best,Capital Investment Budgeted,Thermal Efficiency,16000.0,Between-groups-B,2,4.0
best,Capital Investment Budgeted,Electricity Market Benefit,7000,Between-groups-B,2,1.2307692307692308
best,Capital Investment Budgeted,Licensing Status,15000,Between-groups-B,2,3.2
worst,Thermal Efficiency,Electricity Market Benefit,31.8,Between-groups-B,2,1.3881019830028332
worst,Thermal Efficiency,Licensing Status,0.4,Between-groups-B,2,2.5
best,Design Maturity,GHGe Benefit,0.3,Between-groups-W,2,3.3333333333333335
best,Design Maturity,Load following Capabilities,0.36,Between-groups-W,2,2.7777777777777777
best,Design Maturity,Operative + Fuel Costs,0.64,Between-groups-W,2,1.5625
worst,GHGe Benefit,Load following Capabilities,1.8830445544554455,Between-groups-W,2,2.2569832402234637
worst,GHGe Benefit,Operative + Fuel Costs,20,Between-groups-W,2,1.2
