Thermal Efficiency,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.024,0.025,0.026,0.033,0.034,0.036,0.037,0.038,0.041,0.044,0.046,0.054,0.057,0.059,0.063
Discharge Burnup,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.028,0.029,0.031,0.033,0.034,0.035
Load following Capabilities,0.02,0.021,0.024,0.027,0.033,0.035,0.036,0.04,0.041,0.043,0.047,0.049,0.05,0.052,0.054,0.056,0.058,0.059,0.06,0.061,0.062,0.063,0.064,0.066,0.068,0.069,0.072,0.073,0.074,0.075,0.078,0.082,0.083,0.087,0.089,0.09,0.095,0.104,0.105,0.106,0.109,0.111,0.114,0.115,0.117,0.119,0.123,0.127,0.133,0.134,0.135,0.138,0.141,0.145,0.146,0.15,0.152,0.159,0.16,0.164,0.168,0.181,0.196,0.2,0.202,0.21,0.215,0.218,0.22,0.222,0.224,0.225,0.235,0.239,0.24,0.244,0.259,0.266,0.279,0.284,0.286,0.29,0.297,0.301,0.323,0.326,0.332,0.334,0.338,0.34,0.343,0.346
Net Power Output,0.004,0.005,0.007,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.017,0.019,0.02,0.021,0.022,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.034,0.035,0.037,0.039,0.04,0.041,0.042,0.043,0.045,0.046,0.048,0.049,0.052,0.053,0.054,0.055,0.059,0.06,0.061,0.062,0.063,0.064,0.067,0.07,0.071,0.077,0.081,0.082,0.086,0.088,0.089,0.091,0.098,0.099,0.108,0.114,0.122,0.129,0.133,0.157
Capital Investment Budgeted,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.011,0.012,0.014,0.016,0.017,0.02,0.021,0.022,0.023,0.024,0.027,0.028,0.031,0.032,0.034,0.036,0.038,0.045,0.053,0.059,0.06,0.067,0.071,0.075,0.084,0.112,0.114,0.116,0.12,0.127,0.141,0.143,0.147,0.151,0.156,0.16,0.167,0.169,0.174,0.197,0.209,0.231,0.32,0.329,0.405
Operative + Fuel Costs,0.012,0.015,0.016,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.026,0.027,0.028,0.029,0.03,0.032,0.033,0.035,0.036,0.037,0.038,0.039,0.041,0.042,0.043,0.046,0.047,0.048,0.049,0.051,0.052,0.053,0.055,0.056,0.057,0.058,0.06,0.061,0.062,0.063,0.064,0.067,0.068,0.069,0.07,0.073,0.074,0.077,0.078,0.079,0.082,0.083,0.084,0.085,0.088,0.089,0.091,0.093,0.097,0.105,0.112,0.115,0.121,0.133,0.14,0.177,0.203
Design Complexity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.012,0.013,0.014,0.017,0.018,0.025,0.028,0.034,0.035,0.038,0.039,0.042,0.045,0.047,0.053,0.057,0.062,0.063,0.064,0.073,0.087,0.094,0.098,0.106,0.108,0.115,0.118,0.123,0.124,0.125,0.129,0.131,0.137,0.144,0.157,0.161,0.177,0.186,0.192,0.202,0.213,0.228,0.236,0.285,0.295,0.353,0.364,0.376,0.499
Construction Complexity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.011,0.013,0.014,0.015,0.016,0.018,0.023,0.025,0.026,0.028,0.029,0.03,0.031,0.033,0.035,0.037,0.039,0.041,0.045,0.046,0.049,0.063,0.064,0.067,0.068,0.069,0.08,0.096,0.11,0.118,0.12,0.121,0.123,0.125,0.127,0.137,0.139,0.149,0.157,0.158,0.166,0.192,0.197,0.206,0.209,0.219,0.22,0.221,0.253,0.255,0.495
Percived Safety,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.013,0.014,0.015,0.018,0.02,0.022,0.027,0.034,0.04,0.041,0.043,0.047,0.048,0.052,0.053,0.056,0.057,0.058,0.059,0.06,0.064,0.065,0.066,0.07,0.073,0.075,0.08,0.081,0.088,0.092,0.098,0.105,0.117,0.123,0.129,0.139,0.143,0.147,0.152,0.167,0.168,0.185,0.208
Nuclear Waste,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.04,0.041,0.042,0.045,0.046,0.048,0.049,0.051,0.053,0.054,0.056,0.058,0.059,0.061,0.063,0.064,0.066,0.067,0.068,0.071,0.072,0.073,0.076,0.078,0.079,0.086,0.089,0.094,0.095,0.096,0.1,0.103,0.104,0.107
GHGe Benefit,0.001,0.002,0.003,0.004,0.006,0.007,0.008,0.009,0.01,0.012,0.013,0.014,0.016,0.018,0.019,0.02,0.021,0.022,0.024,0.025,0.027,0.031,0.032,0.033,0.035,0.038,0.05,0.051,0.065,0.069,0.071,0.072,0.074,0.075,0.082,0.083,0.084,0.086,0.091,0.095,0.097,0.098,0.1,0.103,0.104,0.105,0.106,0.107,0.11,0.119,0.127,0.131,0.133,0.134,0.135,0.137,0.146,0.151,0.154,0.177,0.186,0.194,0.203,0.21,0.274
Electricity Market Benefit,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.019,0.024,0.025,0.029,0.03,0.031,0.032,0.033,0.034,0.038,0.045,0.047,0.05,0.053,0.057,0.06,0.065,0.066,0.07,0.081,0.083,0.085,0.101,0.102,0.113,0.118,0.13,0.137,0.151,0.162,0.193,0.251,0.328
Design Maturity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.009,0.011,0.012,0.013,0.014,0.015,0.017,0.019,0.02,0.025,0.03,0.031,0.032,0.036,0.042,0.05,0.061,0.074,0.077,0.082,0.086,0.087,0.091,0.092,0.093,0.096,0.097,0.101,0.114,0.116,0.117,0.119,0.123,0.127,0.129,0.134,0.152,0.16,0.165,0.167,0.169,0.175,0.184,0.191,0.196,0.201,0.217,0.227,0.229,0.259,0.262,0.263,0.273,0.28,0.282,0.346,0.401,0.402,0.408,0.519,0.53,0.551,0.587
Licensing Status,0.041,0.043,0.044,0.049,0.05,0.053,0.056,0.057,0.06,0.065,0.069,0.07,0.074,0.075,0.076,0.08,0.082,0.084,0.085,0.09,0.094,0.098,0.099,0.101,0.103,0.104,0.106,0.107,0.109,0.11,0.111,0.114,0.115,0.119,0.12,0.122,0.126,0.127,0.128,0.131,0.132,0.133,0.137,0.141,0.143,0.145,0.147,0.15,0.158,0.162,0.176,0.177,0.184,0.189,0.199,0.207,0.213,0.214,0.218,0.219,0.225,0.226,0.227,0.235,0.242,0.247,0.25,0.257,0.264,0.271,0.278,0.283,0.285,0.286,0.293,0.3,0.305,0.316,0.318,0.32,0.323,0.325,0.326,0.336,0.338,0.348,0.349,0.353,0.384,0.395,0.417,0.424,0.426,0.443,0.445,0.457,0.463,0.477,0.478
Supplier Availbility,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.012,0.013,0.014,0.015,0.018,0.022,0.028,0.032,0.033,0.038,0.042,0.046,0.047,0.05,0.055,0.057,0.06,0.061,0.062,0.07,0.071,0.074,0.075,0.077,0.081,0.082,0.083,0.087,0.099,0.104,0.105,0.107,0.108,0.11,0.112,0.114,0.123,0.136,0.139,0.142,0.156,0.179,0.198,0.206,0.208,0.214,0.218,0.223,0.226,0.227,0.245,0.246,0.251,0.273,0.279,0.314,0.331,0.332,0.347,0.356,0.373,0.375,0.413,0.445,0.504,0.534,0.564,0.582,0.609,0.617,0.624,0.677,0.683,0.7
