Thermal Efficiency,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.026,0.027,0.029,0.031,0.048,0.062
Discharge Burnup,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.029,0.03,0.035
Load following Capabilities,0.022,0.027,0.028,0.031,0.034,0.035,0.036,0.037,0.038,0.039,0.04,0.041,0.042,0.043,0.044,0.045,0.047,0.048,0.052,0.053,0.054,0.055,0.056,0.057,0.059,0.062,0.063,0.064,0.066,0.069,0.07,0.071,0.072,0.074,0.076,0.078,0.079,0.08,0.081,0.082,0.084,0.09,0.091,0.095,0.101,0.102,0.105,0.108,0.11,0.112,0.114,0.116,0.12,0.123,0.124,0.126,0.127,0.129,0.133,0.137,0.143,0.147,0.15,0.155,0.157,0.158,0.166,0.183,0.189,0.191,0.196,0.207,0.223,0.225,0.231,0.239,0.24,0.244,0.253,0.261,0.266,0.283,0.291,0.296,0.307,0.322,0.334,0.338,0.37
Net Power Output,0.004,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.026,0.027,0.028,0.029,0.03,0.031,0.033,0.035,0.036,0.037,0.038,0.039,0.041,0.042,0.043,0.044,0.045,0.047,0.048,0.05,0.052,0.053,0.054,0.055,0.056,0.058,0.06,0.062,0.063,0.066,0.072,0.074,0.079,0.083,0.088,0.099,0.117,0.122,0.123,0.188
Capital Investment Budgeted,0.001,0.002,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.015,0.016,0.019,0.02,0.024,0.025,0.026,0.028,0.029,0.03,0.031,0.033,0.036,0.04,0.043,0.045,0.046,0.055,0.056,0.06,0.07,0.078,0.079,0.081,0.085,0.086,0.087,0.096,0.097,0.099,0.1,0.105,0.108,0.112,0.113,0.114,0.115,0.123,0.125,0.128,0.13,0.14,0.146,0.156,0.158,0.161,0.165,0.183,0.185,0.205,0.237,0.257,0.278,0.377,0.404,0.431
Operative + Fuel Costs,0.006,0.008,0.009,0.01,0.013,0.014,0.015,0.016,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.038,0.04,0.041,0.042,0.043,0.044,0.045,0.046,0.047,0.049,0.05,0.051,0.053,0.054,0.056,0.057,0.058,0.063,0.064,0.065,0.068,0.07,0.071,0.076,0.078,0.082,0.083,0.087,0.091,0.11,0.112,0.115,0.133,0.157,0.166,0.177
Design Complexity,0.005,0.008,0.009,0.012,0.013,0.014,0.015,0.016,0.017,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.036,0.037,0.039,0.041,0.043,0.048,0.05,0.052,0.056,0.057,0.058,0.06,0.064,0.067,0.068,0.069,0.073,0.074,0.075,0.076,0.079,0.084,0.085,0.095,0.096,0.097,0.099,0.106,0.108,0.112,0.113,0.117,0.118,0.126,0.128,0.131,0.134,0.135,0.141,0.144,0.145,0.148,0.156,0.157,0.163,0.167,0.173,0.18,0.187,0.192,0.196,0.199,0.205,0.206,0.208,0.209,0.211,0.218,0.246,0.248,0.25,0.251,0.271,0.292,0.306,0.318,0.346,0.354,0.397,0.406,0.418,0.436,0.437,0.448,0.452,0.487,0.516,0.568
Construction Complexity,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.014,0.017,0.018,0.019,0.021,0.023,0.031,0.032,0.033,0.04,0.041,0.043,0.045,0.048,0.05,0.052,0.054,0.058,0.061,0.073,0.074,0.076,0.077,0.079,0.082,0.084,0.087,0.098,0.099,0.1,0.102,0.106,0.109,0.112,0.114,0.118,0.119,0.12,0.123,0.128,0.129,0.137,0.139,0.147,0.148,0.16,0.161,0.162,0.169,0.172,0.177,0.182,0.192,0.195,0.202,0.206,0.234,0.236,0.249,0.261,0.264,0.268,0.273,0.342,0.42,0.444
Percived Safety,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.013,0.014,0.017,0.02,0.021,0.023,0.024,0.025,0.028,0.029,0.031,0.034,0.037,0.038,0.039,0.041,0.042,0.044,0.047,0.049,0.052,0.053,0.054,0.055,0.056,0.059,0.062,0.064,0.066,0.069,0.071,0.073,0.079,0.082,0.083,0.085,0.086,0.088,0.092,0.097,0.099,0.101,0.107,0.108,0.109,0.11,0.119,0.124,0.127,0.136,0.138,0.139,0.162,0.165,0.166,0.175,0.176,0.212,0.231,0.249,0.258
Nuclear Waste,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.018,0.019,0.02,0.021,0.022,0.023,0.024,0.025,0.026,0.027,0.028,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.038,0.04,0.041,0.042,0.043,0.044,0.046,0.047,0.05,0.052,0.053,0.055,0.057,0.058,0.059,0.061,0.062,0.065,0.066,0.067,0.068,0.07,0.071,0.074,0.075,0.076,0.078,0.079,0.08,0.09,0.091,0.106,0.107
