"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|IT-North","Without Sequence","50.00","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|IT-North","Without Sequence","75.00","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|IT-North","Without Sequence","95.46","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|IT-North","Without Sequence","108.28","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|IT-North","Without Sequence","115.53","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|IT-North","Without Sequence","114.99","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|IT-North","Without Sequence","109.30","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|IT-North","Without Sequence","108.01","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|IT-North","Without Sequence","94.96","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|IT-North","Without Sequence","92.40","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|IT-North","Without Sequence","97.57","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|IT-North","Without Sequence","106.81","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|IT-North","Without Sequence","110.00","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|IT-North","Without Sequence","115.81","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|IT-North","Without Sequence","115.81","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|IT-North","Without Sequence","115.81","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|IT-North","Without Sequence","109.00","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|IT-North","Without Sequence","106.00","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|IT-North","Without Sequence","101.46","",""
