"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|PL","Without Sequence","76.69","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|PL","Without Sequence","74.50","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|PL","Without Sequence","73.29","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|PL","Without Sequence","71.58","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|PL","Without Sequence","73.27","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|PL","Without Sequence","74.32","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|PL","Without Sequence","76.69","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|PL","Without Sequence","74.55","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|PL","Without Sequence","72.25","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|PL","Without Sequence","76.01","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|PL","Without Sequence","82.20","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|PL","Without Sequence","82.91","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|PL","Without Sequence","80.87","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|PL","Without Sequence","79.79","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|PL","Without Sequence","82.68","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|PL","Without Sequence","77.56","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|PL","Without Sequence","75.46","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|PL","Without Sequence","74.16","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|PL","Without Sequence","74.16","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|PL","Without Sequence","75.61","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|PL","Without Sequence","86.10","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|PL","Without Sequence","86.02","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|PL","Without Sequence","81.21","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|PL","Without Sequence","77.26","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|PL","Without Sequence","82.35","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|PL","Without Sequence","81.39","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|PL","Without Sequence","81.04","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|PL","Without Sequence","81.46","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|PL","Without Sequence","90.75","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|PL","Without Sequence","91.67","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|PL","Without Sequence","91.78","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|PL","Without Sequence","94.89","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|PL","Without Sequence","94.23","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|PL","Without Sequence","91.74","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|PL","Without Sequence","87.51","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|PL","Without Sequence","87.38","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|PL","Without Sequence","87.39","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|PL","Without Sequence","89.07","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|PL","Without Sequence","94.14","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|PL","Without Sequence","97.14","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|PL","Without Sequence","99.25","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|PL","Without Sequence","94.89","",""
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|PL","Without Sequence","91.70","",""
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|PL","Without Sequence","88.52","",""
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|PL","Without Sequence","87.37","",""
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|PL","Without Sequence","87.94","",""
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","BZN|PL","Without Sequence","91.82","",""
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|PL","Without Sequence","83.49","",""
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|PL","Without Sequence","70.97","",""
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|PL","Without Sequence","70.30","",""
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|PL","Without Sequence","69.23","",""
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|PL","Without Sequence","68.84","",""
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|PL","Without Sequence","69.48","",""
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|PL","Without Sequence","70.39","",""
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|PL","Without Sequence","91.04","",""
