"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CH","Without Sequence","25.97","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CH","Without Sequence","21.99","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CH","Without Sequence","14.32","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CH","Without Sequence","11.37","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|CH","Without Sequence","11.35","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|CH","Without Sequence","11.39","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|CH","Without Sequence","11.34","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|CH","Without Sequence","8.31","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|CH","Without Sequence","8.51","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|CH","Without Sequence","10.63","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|CH","Without Sequence","9.75","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|CH","Without Sequence","8.24","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|CH","Without Sequence","10.71","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|CH","Without Sequence","9.31","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|CH","Without Sequence","11.51","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|CH","Without Sequence","20.41","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|CH","Without Sequence","29.09","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|CH","Without Sequence","42.10","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|CH","Without Sequence","48.83","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|CH","Without Sequence","43.31","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|CH","Without Sequence","42.59","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|CH","Without Sequence","35.00","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|CH","Without Sequence","34.01","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|CH","Without Sequence","26.07","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|CH","Without Sequence","22.24","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|CH","Without Sequence","14.00","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|CH","Without Sequence","11.32","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|CH","Without Sequence","9.66","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|CH","Without Sequence","10.01","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|CH","Without Sequence","11.36","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|CH","Without Sequence","19.89","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|CH","Without Sequence","40.56","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|CH","Without Sequence","48.36","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|CH","Without Sequence","51.81","",""
