indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6
Design Maturity,4.333333333333333,6.0,4.333333333333333,2.6666666666666665,1.0,1.0
Licensing Status - FR,0.0,1.0,0.1999999999999999,0.8,0.6,0.3999999999999999
Design Complexity,6.0,6.0,6.0,1.0,1.0,1.0
Construction Complexity - FR,0.5,1.0,1.0,0.0,0.0,0.0
Supplier Availbility - FR,1.0,1.0,1.0,0.0,0.0,0.0
