Run,Elicitation,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
1,1,0.297631435884041,0.6371594102817251,0.6333606598230209,0.12265729005191685,0.27368817268337287,0.09288812694831938
2,2,0.30002334309216033,0.27212491182056764,0.2395700163092559,0.09413403318607387,0.11502255309440619,0.13737902359849144
3,3,0.30193040464847826,0.24392410626074681,0.3861913064361017,0.042217157930232715,0.12108069069066421,0.0796868966125454
4,4,0.23906255780638938,0.5006942738556153,0.5457421115563227,0.2232686268598485,0.23189268949885725,0.13006072556062187
5,1,0.09777636468538319,0.25319788471396937,0.7119593850496702,0.11507536173054198,0.05896115969204527,0.2403882591814646
6,2,0.17290864485254964,0.20549656411446027,0.3655985210733911,0.07697466655420976,0.26217020778118044,0.08794095770987766
7,3,0.11197156969538581,0.5186197472712091,0.10492438175757585,0.019666331617212353,0.245377779978876,0.10309811484356272
8,4,0.1829219329947717,0.257392837561708,0.2846439458547177,0.16195974275878816,0.282291216857253,0.03069554266754512
9,1,0.05149626713395192,0.1443321197323549,0.6653784137455938,0.22877381577069864,0.1655638378238559,0.02584645948841228
10,2,0.2616727545216587,0.26945619130185483,0.31292845210208153,0.03569299892626736,0.11443629759021967,0.03784083431253267
11,3,0.163682011400451,0.37370684189505,0.12591622504197444,0.06594564239681676,0.13986767412576925,0.37707768582129103
12,4,0.11705336699173284,0.18422886212920436,0.40719619837405524,0.22086726890318428,0.23285240698658244,0.0784561016682
13,1,0.051114549470286715,0.7960462107401164,0.34723919229871936,0.16650701012386335,0.4210030410250048,0.041797197251895554
14,2,0.2691140036275251,0.2593907751622791,0.25141651178668356,0.009944381416350073,0.23624394661097983,0.12805094483997143
15,3,0.11109059096401278,0.29294695957506084,0.22008292773832322,0.09455694377103419,0.15632694275917142,0.0731189306404457
16,4,0.13141843309186274,0.6619256077254586,0.45240369137780667,0.15445449879129625,0.18148806801837475,0.12030028462453582
17,1,0.36366018973007047,0.12451220993019374,0.4331702311628983,0.09613702367751208,0.08963198580331229,0.01965531876031518
18,2,0.1510579406504323,0.6449166368283293,0.48685772538285116,0.027009345601842257,0.1916629012880357,0.20869048832516338
19,3,0.14837868712886904,0.47382262099612105,0.48908482776553996,0.08747472171567555,0.06181332491997369,0.17700804768990647
