Run,Elicitation,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
1,1,0.18052067691118953,0.5773998823631318,0.43516381741861737,0.2772054003790471,0.06621043471039695,0.27171483895297177
2,2,0.21120981624041793,0.25509768713335024,0.13848690678501718,0.04556384708774557,0.4026089729592726,0.1651476867156455
3,3,0.4740350976215967,0.5309630006605929,0.4791739193530526,0.3163383898934582,0.0918861202759413,0.19928139258924216
4,4,0.1777291368651923,0.6212147234463145,0.45666175847435053,0.35523708299364587,0.4170498237585845,0.21198985374787221
5,1,0.21157859997147008,0.24195686937726932,0.17265510520446403,0.08429652811005506,0.11044246465475073,0.032397847527415376
6,2,0.1560092618653052,0.21139741218846483,0.2523169236305619,0.030271897738534653,0.22640446022541208,0.08597758371770282
7,3,0.21974378726568103,0.30078410752060974,0.12360875939834998,0.09149931851468267,0.280570126363198,0.05291354049673006
8,4,0.2356055080046072,0.45453939788544345,0.38936319713555534,0.17758010233209442,0.14801390676243806,0.0761971171244839
9,1,0.10885745627718431,0.3658996240129995,0.4214597847867863,0.0939876867564332,0.08873452985956792,0.03400336790219118
10,2,0.04940058698571941,0.11189202281277906,0.41129184958414533,0.24452130802971542,0.06475035483081078,0.08638124500121114
11,3,0.33518840728887456,0.148285735237944,0.1269399410917629,0.2363564993708573,0.1577976742706841,0.22511636494738918
12,4,0.033379569313240855,0.2749438846415971,0.5292215086997776,0.08958591064211305,0.0939319967416777,0.08528777869663348
13,1,0.18972611594888233,0.5952525134991621,0.536405560949966,0.24817907656397709,0.057563398679040284,0.09478696447178714
14,2,0.0996537957644183,0.48517322103970584,0.572750632774144,0.11663673367469045,0.13646635785374034,0.09324886953552414
15,3,0.09608633506857497,0.21534438328906796,0.09905270799616797,0.24361711032632677,0.06938314079796994,0.08941416940123093
16,4,0.12845817385713826,0.6216750195652019,0.531936001198255,0.12291268035724957,0.3676187653773648,0.08574180034691913
17,1,0.3022958196581943,0.25923742436834046,0.6922058772737969,0.06259955224336615,0.39488772093687724,0.0915534029627788
18,2,0.08863356407384414,0.31629586665090786,0.27010733121793584,0.03677984958117644,0.16557853600715158,0.058664105686628554
19,3,0.1529029756013454,0.06503092988986392,0.3880563082243349,0.06179806599882608,0.2731893404296185,0.09724932087969372
20,4,0.35940094759237373,0.27732356160243826,0.412890546373533,0.25528505858940537,0.1044299969035012,0.061220454601657814
21,1,0.3164239905252405,0.23633238647957494,0.2288539833115129,0.10942703667153106,0.26272015801050946,0.044966216501713514
22,2,0.26219820342246025,0.3231867830439066,0.6606794927753624,0.19240935098107537,0.07081161412398143,0.09630732842009544
23,3,0.2209741297767962,0.15320765224598873,0.24145488437686466,0.3074334882909368,0.10198002500777474,0.10044791488642892
