Run,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
1,0.4566635352720578,0.6390426585279345,0.6425603864677286,0.45820816602160164,0.45453217611981206,0.48333370833948375
2,0.4674563703188524,0.7979383022009875,0.6830721984423207,0.5435291969873535,0.5074252119608088,0.24307620905197852
3,0.5813693763671569,0.6042863400318342,0.7036158617430497,0.5920278794247271,0.5184929327207753,0.32415860564440424
4,0.4223350311508422,0.5558848326329191,0.5283451347479271,0.4141426891006242,0.5154814164362722,0.3264516070326219
5,0.5375279224199467,0.5819955738857349,0.510753316647123,0.4846238371005121,0.5768893082523897,0.3411025515972261
6,0.6096492225106014,0.6926070673165707,0.48760298785088946,0.42729766251482926,0.32689032139608876,0.2614457994129809
7,0.5938439747686513,0.6990571891561722,0.5856696677625148,0.4174890646884731,0.5972291245735439,0.08558287007594577
8,0.6685831446527354,0.7347656396056077,0.6417249580216334,0.49892200924522023,0.2678275550352155,0.5211872470101796
9,0.5567351172114873,0.7139588483075809,0.5168030173077411,0.5052516495273022,0.4820227520750054,0.3841706962623385
10,0.6371066791583846,0.7129277696891656,0.5619024444832421,0.3387562688108845,0.32376578234524794,0.3481699061287556
11,0.5699452196680316,0.6682118242710767,0.620060351419523,0.27175182822080396,0.4500907432104942,0.2753833158377524
12,0.6017945665634257,0.6261529355618012,0.7387456190933757,0.5600389377819609,0.42344943670922347,0.26658725143674167
13,0.6546848259460742,0.41452972849985104,0.6332052086711865,0.545534982758836,0.38066381538181293,0.3042627780644113
14,0.37189752448404223,0.6558425559534732,0.5973663129419211,0.5060129290499377,0.5956634927195946,0.2597460366224361
15,0.38403800713315966,0.6073106744250851,0.6828322622435364,0.36250595522923024,0.32448186368107684,0.30328800571606007
16,0.5936485060806956,0.7179537597936211,0.6954145260292661,0.5824057606487056,0.3954250554821327,0.2949390914714207
17,0.5843944213039425,0.6055517728051533,0.6804647884692147,0.7404378230174837,0.42812656155638595,0.22647944547821416
18,0.5414118834215671,0.7863243028390503,0.7138373475523859,0.4508747007059819,0.4220721604933874,0.3806109400646438
19,0.3643560018685189,0.7553274118331186,0.509827411670181,0.5631027312913469,0.5830136192181565,0.28330416081493187
20,0.6415829185118364,0.6275872561111137,0.581434680797341,0.5886674271644222,0.6761288411259119,0.3864570753094885
21,0.5537276385252561,0.6926004286117078,0.5592869076104064,0.5464993719826143,0.4363745101226169,0.46923517566695416
22,0.36528913048318745,0.7183182216191154,0.6293395976887795,0.5444604905224181,0.40774821246678045,0.25740096261165957
23,0.645437250659812,0.6975101056633406,0.49689669226535566,0.49639885496327035,0.48396487115440884,0.23469589526167203
24,0.573774787557247,0.5689548926350111,0.6148660309027905,0.5194566949932298,0.6167907406892534,0.43793854807525195
25,0.183902632191728,0.7990983636164402,0.512057368775595,0.12357332716206423,0.40272618139462757,0.2793447637246956
26,0.4733948836868921,0.5383093243589685,0.6110289547352045,0.6036894487324995,0.5291572359115914,0.38394901401788206
27,0.5658901720096768,0.6054468389604705,0.5523301866357466,0.5259091416578925,0.4940427514299305,0.43940156126900476
28,0.7161868964932764,0.6521249932858793,0.5679246271189872,0.5858752192495733,0.46241637270842206,0.12399717117985676
29,0.3601303658458861,0.625446069972681,0.656240488128896,0.4885670252354176,0.5495432643024096,0.5613133928002477
30,0.4099086194980465,0.6871968904700813,0.6417300192746401,0.36057797177999884,0.5005642732396088,0.31132325623068213
31,0.6736820779319147,0.7018126316217361,0.593351704104875,0.6031477798676323,0.5402375512427045,0.23737131078544688
32,0.6148972769774975,0.8052503026741985,0.5895495476656061,0.3877121452653524,0.5376188806121579,0.3158548187830959
33,0.5055457300059771,0.6416037247461568,0.6621819026072634,0.6682341219949394,0.4012582187746697,0.3066868064848078
34,0.5398136013332497,0.8165344758014125,0.5744395999301074,0.22548204651751147,0.3649072234316981,0.10431363249856024
35,0.36800699922834823,0.7299208579650246,0.5113319869917267,0.50502732536291,0.5124925317075324,0.2901373835997176
36,0.5234860085128623,0.6750267750405927,0.541858258529144,0.4020095067213215,0.27485277242830336,0.40348472878294755
37,0.573796852210301,0.6670497065033267,0.6698108783840131,0.5362512512139884,0.5150017500196181,0.20980790660492432
38,0.3441022934269775,0.6248671738213433,0.6487675585993875,0.44272900655539954,0.3727893107275798,0.5070773129718416
39,0.5036695674337837,0.5672720654510718,0.5023046841073473,0.5545814077755014,0.5192018640676448,0.26716199552691905
40,0.5624737307429337,0.7897140081249248,0.6273535577290312,0.5445150958705919,0.48593648188638533,0.23136634951467336
41,0.5538436906133082,0.5556609355818719,0.5121971933157708,0.5291139684494948,0.40495349814490444,0.313565024243474
42,0.6926234669099187,0.6803395750084658,0.38621191402981697,0.713388497458152,0.7458706077184591,0.5218204910698682
43,0.5477238600854067,0.74765051605834,0.6395900857680004,0.41425896105738547,0.45296144332438076,0.27597636659319563
44,0.628582485518476,0.6841025394191849,0.5641786758636982,0.46942991482298685,0.41139132022554414,0.391488636911417
45,0.48559955461425175,0.7137919792497066,0.6909443548961769,0.3246905244075858,0.6017739489134175,0.6830758093904076
46,0.5018323822490143,0.6530970716415709,0.47386138731788224,0.43068099156571704,0.29052681354949433,0.2561177886729275
47,0.4949855526003755,0.5597534939280681,0.5454593067099059,0.48821828648135496,0.6284556175365957,0.36716778734617656
48,0.3395441479144901,0.6947087076378498,0.4976196690591884,0.5568095490760939,0.5884200193149368,0.3124369199613019
49,0.572575454427625,0.6712326460708519,0.6582879047083037,0.5140152317502263,0.5122297166183768,0.3502391777856059
50,0.6242115759586528,0.8496547092586688,0.5969727179303077,0.6623621113614967,0.646464553979364,0.45590519151173425
51,0.6028337297886609,0.6467157526793755,0.5177365012925049,0.5614798988630111,0.5351135687113863,0.32771223371763203
52,0.47017739467027453,0.647574809169638,0.5965713018779253,0.5888356386634442,0.4617569575989448,0.4017807279470313
53,0.3850882980798973,0.7020197582765383,0.6825426459718054,0.28171170979038096,0.4882847640121799,0.2063548412965936
54,0.6649157314801311,0.7522453819379196,0.6032372757203917,0.5049277886034891,0.5197208099801788,0.14289406272163974
55,0.5512653471391676,0.6042238093877902,0.5733630243347938,0.5969236590942024,0.642547195498769,0.21765951908947997
56,0.5996723485052874,0.6661913446464329,0.5138475575598365,0.4840227744896644,0.40959674937748225,0.3318302776520749
57,0.5595945519157831,0.7897943771765736,0.7217480061508177,0.5356073000135679,0.6240680411402394,0.2715437054799859
58,0.25765003110972956,0.6798202905523768,0.7486307883519105,0.2161478582225604,0.3975093834509486,0.2746230374252675
59,0.39047984477750725,0.4461118831104565,0.6983010259406387,0.4965044062466263,0.5953421275475712,0.47700242194091697
60,0.5559471943127996,0.6161576818254221,0.5204015850939081,0.35983785481679686,0.29051327158887086,0.364659730914465
61,0.48666848554701064,0.5972290638859507,0.5297621388245557,0.5168420842151161,0.4937928154244593,0.22648719219415836
62,0.6021269730383318,0.469597851032731,0.7140276579533547,0.21133426923299428,0.39287248496854443,0.45244862900609334
63,0.4807840124940211,0.6240329082826869,0.5416419212905171,0.4610676383038224,0.3478707784234408,0.43706588020577075
64,0.49641614979323717,0.7654265212145759,0.758380794155776,0.5370108830369849,0.3820928926317234,0.1893333711550061
65,0.5659903847671447,0.7028056548859841,0.5418992492853946,0.42119055649392884,0.43610877838803536,0.33735136132988397
66,0.4393235157170847,0.5360235825408177,0.6380511311252551,0.5592232063086746,0.47352795239540907,0.31771468660980606
67,0.4295201162627221,0.7716861665737689,0.606329261750487,0.6183715949389887,0.4253250057714688,0.4038596513483842
68,0.6153798885772135,0.6797070637558215,0.5032017261872467,0.6292197188531239,0.5187978846308002,0.2386254952687403
69,0.6630964000448999,0.5339726162740641,0.7889606590110092,0.4527249037170993,0.49012468236053475,0.3377039836681876
70,0.5410300896923669,0.6929790171798156,0.5975587346346718,0.34299684961896193,0.24373253862436953,0.33363261145425416
71,0.5239543765756798,0.8463373533682207,0.7153265795828125,0.36855036424203913,0.38210820785564037,0.32038000128080135
72,0.37419382157605946,0.7662529865526052,0.5922824396579274,0.342798772746948,0.43715051841642694,0.25712977504434337
73,0.5740190910636814,0.767118057157826,0.6374183021871527,0.3303392287110115,0.46645246299093496,0.5450050424076948
74,0.4798212633035841,0.8343231137507782,0.33531581885979644,0.42563789602394053,0.45994788314562457,0.18984193689924375
75,0.6092559568499984,0.6817951092996644,0.6441789673151416,0.5450218703611733,0.6666973952122693,0.26065033445306923
76,0.5512719118768202,0.5379791168224246,0.5374378395404428,0.34837788590444235,0.4739726316433652,0.40113928473810256
77,0.6137148470085869,0.731975121110612,0.497764821430964,0.3936682974026429,0.4276106752913559,0.45653574719995993
78,0.7907853112450325,0.5482901672723108,0.5974224724630575,0.4613855616010228,0.45567366848049934,0.2676086351475292
79,0.49240839184922786,0.5756914969156239,0.5654868830350813,0.38270541276130354,0.32117188118624734,0.4823573087948101
80,0.5256704555463123,0.598685694157529,0.6560106203726264,0.466476008316997,0.39693552746882094,0.21170230601518492
81,0.5151771306454707,0.5026830941694884,0.6688213759330661,0.5035578437380551,0.4265332569824222,0.3396762816262458
