Run,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
1,0.0031766404495995946,0.003924886198324967,0.005211409694040469,0.005804919635981964,0.00597188273945984,0.012011262490776506
2,0.01239457868429251,0.007855713837408204,0.014806889646074808,0.0026873060037261747,0.0022534377545961825,0.007931251333506176
3,0.0049078456723426955,0.0022726057365121764,0.014943405760192482,0.00852655039130851,0.014914226478154427,0.0023230528471534706
4,0.003307697597196446,0.006307184241478454,0.006949728107410275,0.006284672409322485,0.0026867151318119764,0.007157812166081787
5,0.011710722768272617,0.007601117645769586,0.4239900021367175,0.05693988271206894,0.43697365501925134,0.001970946826102842
6,0.016973304198631838,0.0030283736828494263,0.1231540906856051,0.0073648466081641445,0.013105908753740885,0.007265047243397114
7,0.0036642393524530395,0.006619628535225733,0.004984346740187552,0.002541214733076354,0.003149774300147988,0.007693649741327675
8,0.004241632942417909,0.00836674690681307,0.0053930088734101544,0.009926931001060905,0.005642136954804574,0.007411766938362875
9,0.0032138997811749386,0.0038423370091428995,0.00656280255577394,0.002769343182183954,0.009104313397048775,0.002739723020500918
10,0.023746558208699097,0.006064287931228427,0.006564826990585187,0.006137099303575672,0.0019802840656279346,0.002551933346980024
11,0.0029911623324489255,0.0029720626136883537,0.026542089126421375,0.004428993981442488,0.0056979898966165775,0.003481372443747447
12,0.003958497309768206,0.02920551875500988,0.31419901545301737,0.0076973320651869135,0.007362386344520049,0.0021743248969708666
13,0.006187390095523736,0.0054460476931004675,0.0034218747351341867,0.01231767947986163,0.004989058378292603,0.007901127069129082
14,0.02027712638408476,0.002535208466215143,0.004521732532627829,0.019438114432297895,0.006619372711327576,0.003767004304773907
15,0.010757313783879233,0.048945936726918556,0.031974112156565676,0.010364446995447677,0.01286091355493927,0.0027997882252138433
16,0.007220034790199207,0.01670945642356757,0.003450714005744522,0.01179204828670812,0.006241671080310373,0.009913573714542273
17,0.026418671853365952,0.015524475109507914,0.01627455509021396,0.001921250983165738,0.004440299214463559,0.0033601735248007256
18,0.010220183013670024,0.12574395695015467,0.16317028688772786,0.0077333583005365514,0.0029067434996974725,0.0022285374098272594
19,0.00489817022277474,0.017066316067801655,0.006215711468327067,0.0031366739359492716,0.002138259569928339,0.002832089895725058
20,0.016914677582444308,0.002633771528452885,0.012787845461950302,0.003222351198469442,0.006799341672130616,0.0035040593965026453
21,0.00575102209812229,0.0075543570761529314,0.0166798755337663,0.003905017007517382,0.004233728895733935,0.005040987559975859
22,0.014357215239545602,0.0044714748934745596,0.02979417641140626,0.0022218846577539302,0.0026117188110839178,0.0023035375678792888
23,0.0078062597242379034,0.009385718356489828,0.07810193691234361,0.004651556428868825,0.009517101972302482,0.006682271433552506
24,0.006249894800643246,0.040221199825438016,0.0380601115001185,0.01269057256529382,0.011803099093621677,0.00294239226769279
25,0.006217423863903188,0.003184586603619423,0.3487421518441791,0.00592083595508804,0.003118115927792058,0.0021874900898136668
26,0.006966669881865905,0.060593147248003146,0.04182775296274928,0.0030772414720931355,0.022421044733418362,0.0027324846519194883
27,0.01958318093055047,0.007344886112771683,0.03435737500669958,0.002820489592478298,0.003591233217687501,0.00501252762869219
28,0.005957873713309002,0.006364142544636175,0.03803534277712021,0.002609172460302014,0.0026269764437063347,0.005294589230331808
29,0.005278177045000851,0.014714085209715516,0.009537557968994945,0.004334504726155098,0.004686389880754137,0.007554784698208646
30,0.04484967012576095,0.25962479412270956,0.3982499178685749,0.010347612419159094,0.049636177841496175,0.009301224165261726
31,0.009896220592649285,0.0054799328947527015,0.003192087681410944,0.007465647620700348,0.005449916986292311,0.01270775555919925
32,0.02177179311752011,0.04044084521527251,0.5935519283376252,0.004583293073843129,0.006153643260978884,0.008436245811578806
33,0.013412051515729682,0.01634750121093662,0.23312015918422224,0.01466533573286818,0.003502462345074185,0.0025742339144755734
34,0.008054332356960856,0.013603980696960595,0.020791501532230944,0.0029592870130752975,0.011737796891951952,0.001980563418846041
35,0.07587420467264047,0.028324515898467913,0.004900149554303015,0.0021037825903162397,0.005693502314216572,0.004342446783901819
36,0.008322567703058118,0.4525709162610214,0.01229225326724475,0.006185252362558924,0.02844211244966185,0.001645465314706905
37,0.011291246977547674,0.050212177539982535,0.04318212004776317,0.003913830347661431,0.001679704985957559,0.005840023694068929
38,0.010926649619622725,0.016624973135486717,0.40904555582135094,0.002537509064558665,0.0018674637021066534,0.0019198169175896481
39,0.004658774644531727,0.004425911074174727,0.05790323859496932,0.005716735615370243,0.0031262074525787425,0.003852170228287588
40,0.005516169764143173,0.004671232461664632,0.19799242246798882,0.006765465352977258,0.00477146030762563,0.001824460098336443
41,0.09318020431946089,0.011014597021142183,0.3240581553842455,0.005657875693453424,0.006368174975425376,0.0038338734739974786
42,0.009339836719441132,0.06401978854004019,0.011322047120014724,0.005953112717050961,0.004855453925953479,0.0033119971844482463
43,0.01227876335514424,0.013647879967732904,0.005249280200457669,0.0018490527330466376,0.006516569116841569,0.002280901649638378
44,0.0027260423197568067,0.00555707899057358,0.4907292251497341,0.002164851827443341,0.0030996348527701743,0.009706042756250347
45,0.04801899301364499,0.009695359528384833,0.07466590501865757,0.006543931296439605,0.0025669011358121037,0.0020891185206612854
46,0.020563387012496406,0.04558973118719999,0.04437474967755851,0.011306234753527671,0.004061093329028805,0.004602035126549198
47,0.01735130295554785,0.00436050818550962,0.010317365778315553,0.010480025440369672,0.008587119271250736,0.005943415195264432
48,0.0022742627094142895,0.008173100897019798,0.012958369415409425,0.0022536142133514764,0.0029666111089362915,0.0076720130000608195
49,0.007150401633077479,0.003382297523300541,0.2800041977671446,0.004025221047918626,0.00483394285304446,0.013729017135917974
50,0.0053877511906866935,0.0031862264449073227,0.29397686287667996,0.013872748149463127,0.006861993366777895,0.013065002656806967
51,0.013675765945168745,0.014617943544125845,0.0034088444224518455,0.004091820468615828,0.00896581352151853,0.005153374127683796
52,0.02762689845207302,0.01066712491115024,0.03389098185325234,0.007026602187529419,0.005065058827554914,0.0065136399096174455
53,0.01863447190155172,0.012641225626383182,0.012393328245893898,0.019078452642554818,0.005143341846125729,0.0022744468135249317
54,0.002725772205615499,0.11501216238686192,0.03457814719281564,0.004089976253247481,0.05300696857716128,0.005517403974654553
55,0.006540799240616037,0.014074233662006223,0.1921601201174161,0.010160665793804499,0.04796910838091183,0.0025812127556217863
56,0.01652899957602505,0.11336114215444743,0.1512511913608307,0.0052670627488757395,0.0032840971614231094,0.0014182161553597042
57,0.004683073423087281,0.007285213039401154,0.006089353071269502,0.002087291723015937,0.03992506345243158,0.0019601466783276643
58,0.01163608453659222,0.0060825069033871295,0.1639785427044757,0.009966057509099163,0.00929886408423067,0.006245879288721608
59,0.005371240768702155,0.006338245632130183,0.013818667400551512,0.005051885184238903,0.007517540810075238,0.003908675347526043
60,0.007811696015581385,0.023919487613413195,0.0813263281142894,0.007253151361639445,0.01021760383461668,0.004275312803960066
61,0.008674031794504941,0.015046692888000396,0.02133621632293983,0.004122750766968097,0.00620794110868082,0.003639044571258683
62,0.00700391971062828,0.3860923258743817,0.03329023789081257,0.036083931183846105,0.005345299294222901,0.0036100257985764916
63,0.005103496587821623,0.004980040227407288,0.01008966526240697,0.007214090605646246,0.00457615038022341,0.004276127613477942
64,0.0026065825500923984,0.01051319759332572,0.39900523355929435,0.00491269929465739,0.01799590078094036,0.002242490330459644
65,0.0028990046596512986,0.01406369557620769,0.012927387399264124,0.00977454100951753,0.01428564036469255,0.003469783703016476
66,0.01681636870562188,0.00812884725539703,0.012263730401679832,0.011796127919650123,0.0036065358773069043,0.007786558398951988
67,0.017934091211570285,0.006323737841554176,0.030886918997882935,0.0031705187297468027,0.005204740713740271,0.012572613334576621
68,0.005282321068096366,0.06769330992410195,0.023763142235169888,0.004647171597978472,0.011920865164568344,0.0019298359855995694
69,0.002388394805624599,0.0029392970873933374,0.009540442497964376,0.00279236370240292,0.003065838600960694,0.003503968468091058
70,0.0102004835425613,0.024804565032447445,0.534479803400603,0.0016341683375303325,0.0019890833120270296,0.0016238677723131537
71,0.004073145329192736,0.0066677233022472224,0.0072896689010061985,0.003221749948186342,0.004978308569530366,0.004400850848983762
72,0.004454473964682118,0.005069022459585623,0.3950529336302538,0.034344015359557306,0.004849725779905533,0.003114236232847725
73,0.012150895449125525,0.013392968783707168,0.016671342388163493,0.010852320745065851,0.010139262081818274,0.0014834803345886373
74,0.008989034369122574,0.0033273210842016884,0.017183542124098408,0.0042182860393560635,0.005478437859629274,0.006065933112786299
75,0.0024000895794316903,0.0033657215926143707,0.011987417071265554,0.0033104727496563974,0.005881982480389265,0.010311921344964043
76,0.015397658738713512,0.003417280003416828,0.012815683719423016,0.003196968961504671,0.005631946561650131,0.0047798964910534085
77,0.006584326053389812,0.004308625692506698,0.0055338522487768235,0.004166950332609223,0.0025732505839393123,0.00490108229285954
78,0.004909132380764526,0.0058003689268989736,0.008259119726771921,0.006794738017634958,0.005002150925735145,0.0025033212229872205
79,0.009328944450949457,0.0085360531020617,0.0400275942164687,0.004742293738331725,0.005533339176448256,0.0067792361426628955
80,0.006504810134715086,0.0034565594421051863,0.012251827757532556,0.005452341328839731,0.004169697700221881,0.004201618821244405
81,0.004982372540822721,0.0581121661490967,0.00624610181244772,0.005279076229195431,0.34579599541259576,0.0017650099648375325
82,0.017052824763493908,0.0028627352703826316,0.0032586662449314028,0.012973021882444579,0.0077532842506199675,0.0045551902549240035
83,0.0036122083761724595,0.39105697387600674,0.011678608163935077,0.02532754582294401,0.01775154694310005,0.002712633306726144
84,0.008152877633547202,0.18780066859406747,0.22469386328766805,0.0032612772887101625,0.009894485165076418,0.003061349352215697
85,0.008612386577721785,0.008039509310199847,0.4756911648124368,0.006127970401469836,0.015027253053140871,0.004986378519585287
86,0.004529942319518324,0.005850559245175256,0.025532645805813176,0.0026566721247310984,0.024884057919780836,0.004877375710082654
87,0.006747959877703312,0.006604418698149805,0.0032313928318120073,0.00602035984368761,0.00570034008636777,0.004568158973973445
88,0.0054261557495770794,0.010571282443924272,0.3808485469922631,0.008758283669301963,0.009430918921981524,0.005143818293437899
89,0.00414838276151208,0.024192512472570333,0.08160393138051829,0.00863050090474287,0.0033431074498749386,0.0023560790935911527
90,0.0034263765036206782,0.021181091375549833,0.3467308062777493,0.00425486206494549,0.007615222096866175,0.0037464330607872675
91,0.01345740823211611,0.0031727071799135683,0.09780282277771417,0.020215425518064253,0.01135923941812813,0.002676994861023947
92,0.004974724657788636,0.005255322382076364,0.007511421398403672,0.013673718909088296,0.016587505016143346,0.004473699770194062
93,0.003572212424639369,0.00867203119731615,0.004059974025733973,0.005514699808324456,0.0268006531684761,0.005090670395943122
94,0.0033190175942118105,0.005983189024842876,0.46287134361494325,0.0033382272771206997,0.17985951729897728,0.0058473412129219065
95,0.021867862304963025,0.0064772785882223835,0.04366789084966626,0.015258506941930634,0.004064752409506548,0.0029450346780712008
96,0.016721715858177343,0.006686243776972919,0.4565714241263055,0.012273892488702452,0.003869260619154387,0.002597804749037843
97,0.006834777339626715,0.010301061749060186,0.006206637256744971,0.006562669307562198,0.004003070954809087,0.002684605840373137
98,0.0026211188179545548,0.02508569868444367,0.0077102610410553175,0.005287697372745389,0.004666726866595251,0.0035172473116462616
99,0.006546916944366831,0.03204192290679432,0.009093442332678755,0.008270270908592912,0.02505802245322338,0.004893508780358567
100,0.0028228308443585637,0.012913007346550511,0.011978533287665485,0.009777620029229744,0.006200594944310907,0.0037479165338775034
101,0.004078113853192621,0.010233420035460185,0.045464052584897434,0.007022851782916749,0.010080006482145805,0.0018173469209882122
102,0.002883150870531363,0.015692902334714664,0.023322939277759802,0.011452055028629494,0.005903597178296269,0.0032336223551538406
103,0.004531689348977659,0.006945371882426246,0.00801732265599897,0.0025300641690452026,0.031758384632029124,0.003777467922743103
104,0.006534945204649258,0.004673322332047146,0.41905078413062674,0.008328649052593711,0.006191025758195884,0.0025294920311469196
105,0.0034744906819938874,0.025373725373324805,0.005250846058615074,0.0019506154847381497,0.003270226240721824,0.0033198860957455024
106,0.00453037658948376,0.00561402598565455,0.012504442355194469,0.00820845556950256,0.007308180426437367,0.012617153550229425
107,0.009278757893798523,0.005420065127264985,0.04626353343065422,0.034115589154728405,0.026036113103509877,0.00266633366655568
108,0.003533301266457688,0.05946139051984178,0.006099471929585694,0.008601085811820498,0.008634175997079076,0.005725787851651365
109,0.005513658172086199,0.0028911869690845826,0.006463126959571213,0.007995674027231045,0.004188644929679643,0.004037581983692714
110,0.004792223030253713,0.0033572913951036656,0.004158577084910427,0.0025500798068459236,0.006805020410508827,0.005628260653264703
111,0.0037255050238366423,0.00783403538489054,0.013207031082604712,0.013621094100319699,0.005577926260820942,0.0035897288947409796
112,0.004824521710505884,0.003379721376848522,0.3897080716983864,0.009494109357192627,0.005531172144494021,0.01335087026318222
113,0.00396226095416676,0.0026979405892358773,0.30762754001671094,0.027027485644280477,0.005253788869332854,0.002980546837731235
114,0.00507925107499975,0.02391027021274211,0.014503944221575821,0.004137472968565383,0.0031873643863068934,0.0036786463842499004
115,0.03260065653358957,0.006279846698059042,0.21474277302198863,0.013179018637636453,0.01865174814094121,0.008568176506424056
116,0.0027131360337482873,0.030930086530385953,0.03184516984555145,0.0083662624460253,0.006104640414282291,0.0067641658649851616
