Run,Elicitation,APR1400,EPR1750,AP1000,BWRX300,RollsRoyceSMR,NuScaleVOYGR6
1,1,0.25269880976274106,0.10407419497375929,0.19517467764354124,0.18546327098177995,0.08535603519561162,0.02431443720814826
2,2,0.2383264681984343,0.34645779155328754,0.511610449551188,0.39645181748107716,0.14762869848299678,0.05203363159464078
3,3,0.20625977373118667,0.07691912452247408,0.39006955772308366,0.10532027130440995,0.03451171756771509,0.005530791910483521
4,4,0.30816448567953836,0.32464264927508935,0.2959746258735635,0.2510498262725343,0.08998095993314838,0.0444224269216904
5,1,0.0830493750133307,0.14217818390850415,0.19820838286036394,0.07631623352183331,0.033949853170224434,0.095410407239219
6,2,0.07674089263451381,0.11809882500158898,0.3207589232734405,0.0618162487884728,0.21175848174267414,0.030115439840113525
7,3,0.11117719488632068,0.17114780686034448,0.06915530084050055,0.3379352982566002,0.13185367536804013,0.02478559777117736
8,4,0.11772164683462609,0.4325617012917076,0.37233647927898667,0.34897562975520857,0.14870908772928554,0.07124943659291773
9,1,0.2921866402905865,0.2080413592924098,0.2457239139453986,0.3445404488928271,0.03949595565624574,0.011788527609953152
10,2,0.159444385980206,0.2927643717057626,0.257434370137877,0.06309622737728243,0.10446850488491015,0.015976980062511425
11,3,0.4343336939659863,0.22988511527654384,0.1441571987266198,0.34964865568407044,0.12086786763572224,0.012332203813482335
12,4,0.18565562350827702,0.29758044777794723,0.3451976924289998,0.25010795202245684,0.3585413369576676,0.030897723037265273
13,1,0.27752975180196915,0.19157762099715933,0.6063182697561013,0.49228116017180507,0.1760374111080616,0.009705570339947726
14,2,0.13874848910860413,0.3705910533257659,0.13706527597456702,0.21489319117216935,0.124705021335012,0.01378074881994324
15,3,0.16847582143936038,0.08087948559907891,0.35176376535655063,0.45586039929611855,0.1276005159793639,0.013641714291362893
16,4,0.07532584230008389,0.1534498435671882,0.4807213255259264,0.13316241153590505,0.1651902883081967,0.02631502898348251
17,1,0.10195803883900509,0.5085983117882167,0.22628944327134312,0.22746523835639584,0.0795890682986497,0.011574069243625253
18,2,0.1919791056753066,0.09150348121585136,0.3907981132884949,0.26489472236726985,0.14904221837769296,0.006772168894782641
19,3,0.18779628163233122,0.27827005235574626,0.28459223799101224,0.26172599692996407,0.05663257902225442,0.006121503928757729
20,4,0.08234610512567482,0.4143540705217983,0.5512682407769298,0.3098008057582084,0.14115982334718274,0.0345676646013798
21,1,0.12106834738186831,0.10404274794796915,0.2917301091350647,0.17443436139108195,0.07348214217336965,0.00501489609636226
22,2,0.30924344325778613,0.24625045075864205,0.17967605222464356,0.06390741990434076,0.18949860322424072,0.017618465118860293
23,3,0.27551797657167865,0.337660171695895,0.3830463914318736,0.08138958914192951,0.15013859048426,0.03440779231826617
24,4,0.10794339954077398,0.4994247494490592,0.2810646582714972,0.3747747621608748,0.13256106927137498,0.09716782412512384
25,1,0.0975645142555286,0.18246196079550664,0.5041057921181986,0.13910249093369093,0.016789970866292126,0.006958973202248971
26,2,0.18612549430230907,0.33668419946769634,0.44043571592500025,0.0853125395315969,0.09461607217350647,0.003887515631763843
27,3,0.30581134393994724,0.25571951147488975,0.17678702570831184,0.22265453689075965,0.15262033381196963,0.013146449592166357
28,4,0.09837915539089007,0.6854698994642952,0.23859217169509322,0.19420102116687898,0.09716640470690364,0.1151177574408526
29,1,0.18274672948735776,0.256665282048864,0.2532106009234518,0.25955494566751613,0.04159457645678901,0.09103427664785725
30,2,0.3150152940076274,0.3266062318748345,0.49032186879337103,0.1797856971495095,0.11635445168702813,0.01022379970547182
31,3,0.3345674168452693,0.13044868565913592,0.5055498359044323,0.09255157752159834,0.17389459944869,0.005675919200875588
32,4,0.11591606799067476,0.28736095159859604,0.19314801357431094,0.13712208333226947,0.11212768671119648,0.05931449056422393
33,1,0.2755323767953275,0.44814265847726487,0.31393837309925665,0.29271156233606943,0.12604821075551648,0.0528094095047152
34,2,0.21528949536594724,0.20436861398249132,0.11952165333471565,0.1558794329627775,0.04678888599673444,0.03547021045690863
35,3,0.3498107604355434,0.49695502616526943,0.20977501501765108,0.13036644517472695,0.12025677818903084,0.004831088886535615
36,4,0.19153047562503495,0.4226560498654879,0.47661474383500696,0.3791976192902614,0.13486859917494087,0.04423801505394221
37,1,0.09399281432568724,0.16629871936061152,0.14198398122870567,0.09934001281930312,0.16626954217537215,0.03753865047920362
38,2,0.17837842243303936,0.3364454496207871,0.2864503151410677,0.1567634662493638,0.25520735340371375,0.02299052724121453
39,3,0.1818703520464974,0.10065061616252416,0.3839930071143075,0.17642368011412282,0.191038309334293,0.016567349293359682
40,4,0.29032687403006685,0.5094672863942012,0.5191872017404675,0.12338694999085201,0.15314815008597177,0.07818302526909478
41,1,0.1325692606505597,0.3260559168589315,0.4358430061710213,0.1598587215514949,0.19024452067139458,0.0583347511165927
42,2,0.14833456632991482,0.38989541777265985,0.338438297901321,0.22998573917854317,0.10524177324047575,0.026339579743813183
43,3,0.10530283071256252,0.14319784065712274,0.27260878781054443,0.39864923397100466,0.0904528174205506,0.006090290016637271
44,4,0.25979135250056384,0.30887880608420276,0.602938275808538,0.16956702064231685,0.18528530868479587,0.025899380075911867
45,1,0.1533320189553883,0.4183710382691132,0.46871572760528035,0.3411292565029323,0.19958424232836017,0.02274178750087553
46,2,0.26302443500801986,0.30042098024988767,0.5261642866361165,0.10875060542331422,0.12053946386602213,0.03131317328110541
47,3,0.3230174257681096,0.16949729129850383,0.21479971349071666,0.2080143668818162,0.21077275140684132,0.004101150687387453
48,4,0.2944135480605946,0.22982920428874912,0.5120570222725939,0.4510612873783303,0.28421482206754334,0.06703852465467522
49,1,0.1005778357206566,0.45612280049772624,0.573125873417003,0.09897324096088478,0.10788002728811968,0.024014836462546138
50,2,0.277912183782806,0.32946521280490126,0.40178955687983636,0.07333751275405685,0.06939951509639711,0.018543920303327553
51,3,0.14869278500719155,0.4871568575992563,0.22722604749572606,0.5130286492233429,0.22588127474225775,0.018024633387868555
52,4,0.09936886103251859,0.6394953444003147,0.5847076964088204,0.23498222094724816,0.24202886533398066,0.11326919302884021
53,1,0.026763709162445592,0.5467837469569402,0.28543495286989773,0.23878925232995993,0.0937675756905182,0.02299124690755517
54,2,0.2880326647161792,0.3609354885971688,0.1989789099028351,0.15496065512058224,0.21057851462198274,0.042624279137926574
55,3,0.16028007747668252,0.25594066634919105,0.08385211192756595,0.27374234195711555,0.3459394595959828,0.019826842394733174
56,4,0.26061906095730564,0.196948174863629,0.2939859169831487,0.15719180886077547,0.1452932203226004,0.0555694397863679
57,1,0.262058341675843,0.36899385309545213,0.5591225485777088,0.220928910727593,0.03603809873740161,0.1032319315939102
58,2,0.19103455286582527,0.5678201507624644,0.3042023157672297,0.17380365733517808,0.14944072947607945,0.018223814205388558
59,3,0.26217942396524774,0.06889948753356144,0.10402926409031256,0.3230734349487346,0.1701721892557998,0.004327190055503567
60,4,0.24180292305617948,0.5550677637953287,0.44298232195598236,0.12484110873651498,0.1206042096885052,0.06892595144184123
61,1,0.13486472362502117,0.1303681663600931,0.17810890802659612,0.11646218619593031,0.016482106421171764,0.01780239409714299
62,2,0.19887534273700846,0.4915467853211197,0.42843111947727874,0.11452797636170806,0.18784495135448134,0.05578222785722624
63,3,0.09317720377361159,0.07958105030116538,0.294476061935624,0.4113159084038597,0.15023446316470274,0.0030389373820587005
64,4,0.18627615534622943,0.6493907521301249,0.27745398284685013,0.08805171630865946,0.1024140093112714,0.049512446941851994
65,1,0.05316056905209618,0.145876989079764,0.1663410551436654,0.11119430506993173,0.11743277966377137,0.06075175634206244
66,2,0.04615472254994257,0.39308225742916236,0.12389788740106976,0.3178850325083929,0.1829328548398287,0.03144179543524845
67,3,0.09834175406805606,0.15920992073702964,0.3778189149676414,0.3740679657127482,0.3972634947745482,0.011411523186294553
68,4,0.16779330392576167,0.22031480768108735,0.548510597344591,0.3828761294229816,0.15308864117188706,0.05069115635977743
69,1,0.306358516485024,0.13883998120903152,0.5786166942052506,0.11183411764726237,0.029106284001432413,0.05543707665222333
70,2,0.15113720117763796,0.3124250465738234,0.29502180023308167,0.08948418492605172,0.1619397337315817,0.017693420272209694
71,3,0.10135907944746095,0.09096011246509594,0.1316555186241637,0.06524517010768492,0.1982851311423809,0.0121316565292267
72,4,0.08465730175940835,0.40529911410384134,0.6072888908534356,0.19200966768922478,0.15837946295444372,0.08609317038393063
73,1,0.15953193458987283,0.39054986218086085,0.702445462744952,0.11324294989241518,0.1606715224569358,0.05845768809446474
74,2,0.06405530223040419,0.1482453738183145,0.3654611682732059,0.2554851200267246,0.1746348493805523,0.0089929598573641
75,3,0.33724023939895437,0.43494178782477233,0.22240862511119977,0.21684593145613315,0.2418488510151343,0.010626278079208447
76,4,0.23650661875501813,0.14132009055820483,0.5352501544182223,0.19966590041881846,0.1547827177358796,0.08975012965327561
77,1,0.20292048323198786,0.051901919089021795,0.5780857205274387,0.20695003285421157,0.039609075947638496,0.05067544692093038
78,2,0.17285708609699646,0.6273214244452348,0.29480888946589706,0.1293221284558682,0.09179330082682458,0.02604922703938931
79,3,0.4488269979609616,0.2575582255216358,0.10243057182803503,0.24446072452690404,0.20842987255862544,0.006864413680874765
80,4,0.11046826517060404,0.23851607184709567,0.3028152398249933,0.4650822157398306,0.08399883274031869,0.015532737134013432
81,1,0.17607593013936887,0.18723527409758225,0.2931801760886071,0.0940229647697908,0.16021007118453723,0.2087807966765138
82,2,0.11853485428198363,0.44178034464583155,0.3511720785193715,0.12156912148923797,0.09360806120535332,0.02382322592014719
83,3,0.32304437353697435,0.22267768260087667,0.24705106983663153,0.07039240367178226,0.1843766137790437,0.01274120644974489
84,4,0.13250376016326876,0.4239552430281009,0.33586544196498874,0.33380379858959797,0.10307608748068621,0.11443736672871506
