"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","26.017308675222","27.7206684640299","28.0136006105967","31.2308037352359","31.743492136613","31.5371881469651","33.9848635155293","33.4534561114551","33.6055703900282","34.7013642144294","35.1342511735263","35.5552663857896","35.8455321887831","35.7128777489832","36.4173437028488","37.0005096597999","37.3161039984758","35.8940557964393","35.7312243774238","36.1843390604566","36.8414519091316","38.9088725962769","38.8269963425533","48.8527095033761","48.9670936380334","47.6376462561767","47.3787328552199","47.1823690669959","46.4244332273425","46.8148444061803","46.2826879102055","46.1536982748192","48.9500268699742","46.2539521666493","45.5316465384067","44.2908136763851","44.8763008234169","48.0972422914672","46.7361288145075","45.7857004145268","46.5833364419865","47.2584334360885","47.3819786391457","46.3323461865485","45.553025088735","44.8654197632576","44.1363840597814","43.9069061163649","51.1591725615403","50.0215856914731","47.509529668642","46.4788740013619","",
"Azerbaijan","AZE","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1976514544969","19.8269659761927","15.807941154944","16.221372257227","18.7678486310527","19.0095414691002","","","","","","","","","18.5077683545439","23.0788028594301","20.8724832214765","18.4783610460428","22.1853838889224","20.9255439826751","22.1009894245612","24.7887090842221","27.1959381185333","27.9587305829867","21.402262398242","24.2843990319453","33.9314765748897","27.1444134965323","23.0088211493834","","",
"Burundi","BDI","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0162153488943","20.7437947032339","24.5436596936314","23.5190672037332","19.9251600008438","17.0307867730901","18.2640023337223","18.987756121939","18.0602217830479","","","","","","","","","","","21.4202292080077","19.9992977562959","17.9381007754932","17.0164704203652","16.9374058140755","18.6032284085147","17.6044811138672","17.6948478838913","","16.6189077019688","17.6736886423553","15.1240449247962","","","",
"Belgium","BEL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5728111336882","45.937622936705","44.697380428065","44.4212071163828","43.8128230398056","42.6348525059249","43.0371850255112","41.4436065241409","42.5564419939957","40.8989362902799","43.5309136698259","40.5934156846885","40.2935344941736","42.1013518104548","44.2375786842218","43.5672983109901","44.5122501817844","45.704833465615","45.341690143058","44.953912538649","41.7110348512049","41.1616434494037","40.1035662028041","39.9416268146679","39.4025048550939","43.656605302545","41.4118090170245","39.5682713023795","","",
"Benin","BEN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.94393922475686","9.30638470843529","10.179532584478","10.2043369788626","11.2753125531784","12.3129823081145","10.761506058922","11.2287831746703","10.5945968597121","11.0358957782752","12.9214457539664","12.3336649866679","12.8787351779888","13.1974934417641","14.7098212612735","18.4897905554418","17.3707418259823","18.2174288376112","18.017832406322","19.8586086524281","22.5336605756817","19.3644859093552","",
"Bangladesh","BGD","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.85279247057531","7.88712372772849","7.83605027787651","7.60497659759871","8.1426283401405","8.33493730155715","8.66279314084748","9.42878117115452","9.87158360325856","9.26625106718959","9.84388457755423","9.63853873285246","9.50711961128958","9.50443649145954","9.00588487034226","7.86276813546215","7.63987436772557","7.4941450180451","8.27231587687115","8.14832024557625","8.3242513417429","","","",
"Bulgaria","BGR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.5154855851211","39.3728813559322","39.5488047808765","43.683506189361","43.7151826484018","27.9694624893292","32.0418592508295","26.2258636699595","30.3918686738092","34.4200855682417","33.9941005970514","33.7999982444074","33.1779493160763","34.9141085036207","34.1928556278216","31.4350650952714","29.6121304490211","32.7946577032009","31.8122701168032","33.8382129955994","31.6315388880341","29.8496236412362","30.9132693281019","32.9223988647865","37.9434073102519","34.2858376669531","32.0269320095318","31.9919661067059","33.0814837240474","33.1317348471441","36.4634393218119","37.6808446952674","39.3206741649902","35.6868250526548","",
"Bahrain","BHR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3026742138974","21.7674324148078","22.9170426686288","22.9974662756303","22.2071345902336","20.5650572366769","19.553420723567","20.0000198931861","21.0570335825454","21.1714087843294","19.9022786964624","20.8411727233671","23.1816720078954","20.8663034055133","19.3691525464864","17.3135983904707","16.2899426398325","16.0054244059101","16.2177650429799","19.7624980144398","18.6739821709387","21.6471133862972","20.8985126699084","22.4686162529477","23.5115457835002","25.3293874440254","24.4996564184373","22.5215503005502","22.4700360043582","21.7538186236849","26.1085121752585","","","","",
"Bahamas, The","BHS","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6108654453569","17.4629398680878","18.0829848825989","17.4320827943079","17.1371586376189","17.3694954797317","18.2571349404267","11.2387956464888","10.7095483534849","10.3294303521533","10.2594326481743","10.4233916778775","10.3894085907697","11.2625689254562","11.278457122853","11.3576991114455","11.6635471735228","11.8675423842145","12.77773133194","14.2433449943698","15.3934154965055","16.5592966586399","16.3549707228275","16.2498733548443","15.7965215023655","16.0689793736906","17.8870918557517","19.7385600143007","17.3844779705442","18.4739549597048","25.8412924772271","24.6633838830273","22.3247708393299","20.347142731791","",
"Bosnia and Herzegovina","BIH","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6172734570244","33.9930341864315","36.0736132174875","37.8310013389341","39.8245478836713","39.163346131891","38.1186179452594","39.0326697243166","37.3655580614393","39.9462729767212","36.4782077046437","34.9010236092688","33.8899252873302","34.4993474661743","34.0521689246355","38.3614659355678","34.8589044117291","33.4237705090927","35.2955107381856","",
"Belarus","BLR","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6304347826087","36.3654822335025","29.9409880290002","28.7417114898314","27.723455606003","27.2144044925442","25.9043438755499","27.0587667676559","25.3401651010532","26.8710548994946","24.6783838275634","28.2128169988623","29.2698762597066","30.250762674224","32.4134847792902","34.6577822535411","33.9503611411595","31.7738362587998","30.2074804270194","25.4492994190304","27.6224227639515","28.2546964798114","27.410400205909","28.110499205426","29.4170537971155","29.3216054007539","28.1637805187554","28.5883479992147","29.9281796626654","27.8747723019691","28.2689984078899","28.4675083787373","",
"Belize","BLZ","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5495750708215","12.6251884106515","13.5560502692998","14.6755661818423","15.870710863654","14.1188572126244","14.0993712170183","14.4689718342111","14.2494889725659","14.5589102724319","13.0551848274651","14.4133697135061","14.1499618366609","16.1980670792268","19.2024128207874","18.6014102172955","19.5061433554347","17.93336652803","18.2253436080281","19.811045306485","19.7578048920204","19.953011685504","18.3977172423274","18.8861415860288","19.4393247814802","20.6171829002987","21.2659008943398","22.3410892617923","","","","","","","",
"Bermuda","BMU","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9714543270861","12.1675796191782","11.6792372729839","13.0645371204366","14.1920657191537","14.5284411457768","17.5620012095936","20.3773917815907","18.9761004512685","17.7068003466498","18.8322628754362","19.688854008682","19.6762972839685","20.5041202732739","20.5536490053406","24.2449169289855","28.7844354599794","28.2076378858982","27.2111987248072","25.9831530558235","23.9380392527656","21.8110433637866","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0594682317914","28.662521677616","28.1749993082199","28.150486422269","29.2822360064413","33.9491788065831","33.4051681393353","32.3610510090101","32.2312978931468","31.1361557850731","34.9119748286061","29.4981043220662","31.641435845417","32.4311004876294","",
"Barbados","BRB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.98426546191","25.7947452460444","28.1038131576123","26.8972727708053","29.2461750694878","30.8636436347917","33.9790117761008","29.9771015346486","28.1359896771055","31.0620486667555","30.9856075413255","29.2771852512889","31.4668784772632","30.6472250728156","","","","","","","","",
"Brunei Darussalam","BRN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","15.9272888188512","14.4767214319374","16.8474733095166","21.8599144541584","17.5249458366688","","22.1052657542007","21.3313652946664","21.4239137885413","20.4451090360374","18.99815954426","18.4597117806252","20.352326778682","21.0312912513236","24.3369737343369","20.3876360655992","17.8380164072408","18.9884963075733","18.2868822617884","19.3825946871297","17.753205497603","17.6930195474782","16.2325864534645","18.8022858870792","18.3739035007277","17.510448810681","21.5505702403735","22.1231123083322","20.1367804659329","20.1181323773237","18.8856610730292","18.6357911039665","17.0322760399245","17.9112552177493","17.6140527540135","17.6203577247984","19.3875030428865","16.630738064931","24.0761573964997","","","","",
"Botswana","BWA","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6816025863719","27.8405419816203","30.4987482710136","32.6279809985908","29.0775365994438","30.6240563663815","28.9626370625942","","","","","","","","","","29.3333740630352","31.1492331125624","35.751214669201","39.1751612933252","33.5156076335395","29.7867605507382","31.5200789767544","29.48597480927","29.1324048731669","31.2430941784713","26.7811392255083","28.154984240063","29.0644156467701","28.800544988701","33.8588005035996","28.389444963017","25.0924165298183","23.896888551899","26.3709357592777",
"Central African Republic","CAF","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66162851275332","","","","11.0060729405559","15.8641793874006","16.3366647703798","13.4640903708419","8.18447190574619","","8.27197400077813","9.30655844158761","9.02134552692702","8.67679860120799","10.1233533419528","9.93933909760806","13.9733066121224","11.6613898280077","","","",
"Canada","CAN","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1003248018335","25.3663221583048","25.5337984176739","25.1350334722377","23.7490719368867","23.4303847545937","22.3451270826694","20.3710462622465","20.1743893660975","19.7560910273366","18.7745182688509","18.7110049059225","17.963084125068","18.0373335713637","17.2659172104417","17.8239879344923","17.0276912468077","16.9627803202211","17.0833534495245","18.85417104193","19.0847071449408","17.8502680006291","17.5175199279774","17.0848821579089","16.4020498301416","17.0597786823228","17.498604071126","17.6065954076372","17.5409004540917","18.1057096781026","28.5714736058033","22.4985744222565","18.2522606578883","19.2603133808938","",
"Central Europe and the Baltics","CEB","Expense (% of GDP)","GC.XPN.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.9986528008759","40.8620955776591","41.7025115423557","38.4876424105349","38.2902575153096","38.6113537581768","38.2099451714259","38.0827530243494","38.178763954418","38.2650013399088","36.3701964747793","35.778544553514","35.3829546505467","34.7830093050882","35.433130372603","38.0254600374324","37.5559722347917","36.5480381347982","36.4113594425408","36.9818683692806","36.5310328838745","35.7997299045118","35.6199496349786","34.6111315843278","34.1505522282352","34.6991938381087","40.3811004705169","38.3489703301255","37.2153646653545","","",
