name,group,elicited_points,value_function,elicitation_meta
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]",lambda x: (0.186219739292)*x**1 + (-5.7355679702),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",lambda x: (0.117647058824)*x**1 + (-5.47058823529),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Capital Investment Budgeted,Economic,"[[1825.0, 1.0], [6050.0, 0.0]]",lambda x: (-0.000236686390533)*x**1 + (1.43195266272),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [72.0, 0.0]]",lambda x: (-0.0192307692308)*x**1 + (1.38461538462),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Percived Safety,Social,"[[0.0, 0.0], [2.0, 1.0]]",lambda x: (0.5)*x**1 + (1.58187870389e-17),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]",lambda x: (-0.0458085203848)*x**1 + (1.26935409986),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Licensing Status,Feasibility,"[[1.0, 0.0], [2.0, 0.2], [3.0, 0.4], [4.0, 0.6], [5.0, 0.8], [6.0, 1.0]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.2 - 0.0)*(x - 1.0)/(2.0 - 1.0)) if x <= 2.0 else ((0.2 + (0.4 - 0.2)*(x - 2.0)/(3.0 - 2.0)) if x <= 3.0 else ((0.4 + (0.6 - 0.4)*(x - 3.0)/(4.0 - 3.0)) if x <= 4.0 else ((0.6 + (0.8 - 0.6)*(x - 4.0)/(5.0 - 4.0)) if x <= 5.0 else ((0.8 + (1.0 - 0.8)*(x - 5.0)/(6.0 - 5.0)) if x <= 6.0 else (1.0)))))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[1.0, 0.0], [2.0, 0.4], [3.0, 0.8], [4.0, 0.8], [5.0, 0.59], [6.0, 0.38]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.4 - 0.0)*(x - 1.0)/(2.0 - 1.0)) if x <= 2.0 else ((0.4 + (0.8 - 0.4)*(x - 2.0)/(3.0 - 2.0)) if x <= 3.0 else ((0.8 + (0.8 - 0.8)*(x - 3.0)/(4.0 - 3.0)) if x <= 4.0 else ((0.8 + (0.59 - 0.8)*(x - 4.0)/(5.0 - 4.0)) if x <= 5.0 else ((0.59 + (0.38 - 0.59)*(x - 5.0)/(6.0 - 5.0)) if x <= 6.0 else (0.38)))))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[1.0, 0.0], [2.0, 0.2], [3.0, 0.4], [4.0, 0.6], [5.0, 0.8], [6.0, 1.0]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.2 - 0.0)*(x - 1.0)/(2.0 - 1.0)) if x <= 2.0 else ((0.2 + (0.4 - 0.2)*(x - 2.0)/(3.0 - 2.0)) if x <= 3.0 else ((0.4 + (0.6 - 0.4)*(x - 3.0)/(4.0 - 3.0)) if x <= 4.0 else ((0.6 + (0.8 - 0.6)*(x - 4.0)/(5.0 - 4.0)) if x <= 5.0 else ((0.8 + (1.0 - 0.8)*(x - 5.0)/(6.0 - 5.0)) if x <= 6.0 else (1.0)))))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Maturity,Feasibility,"[[1.0, 0.0], [2.0, 0.2], [3.0, 0.4], [4.0, 0.6], [5.0, 0.8], [6.0, 1.0]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.2 - 0.0)*(x - 1.0)/(2.0 - 1.0)) if x <= 2.0 else ((0.2 + (0.4 - 0.2)*(x - 2.0)/(3.0 - 2.0)) if x <= 3.0 else ((0.4 + (0.6 - 0.4)*(x - 3.0)/(4.0 - 3.0)) if x <= 4.0 else ((0.6 + (0.8 - 0.6)*(x - 4.0)/(5.0 - 4.0)) if x <= 5.0 else ((0.8 + (1.0 - 0.8)*(x - 5.0)/(6.0 - 5.0)) if x <= 6.0 else (1.0)))))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 0.0], [2.0, 0.2], [3.0, 0.4], [4.0, 0.6], [5.0, 0.8], [6.0, 1.0]]",lambda x: 0.0 if x <= 1.0 else ((0.0 + (0.2 - 0.0)*(x - 1.0)/(2.0 - 1.0)) if x <= 2.0 else ((0.2 + (0.4 - 0.2)*(x - 2.0)/(3.0 - 2.0)) if x <= 3.0 else ((0.4 + (0.6 - 0.4)*(x - 3.0)/(4.0 - 3.0)) if x <= 4.0 else ((0.6 + (0.8 - 0.6)*(x - 4.0)/(5.0 - 4.0)) if x <= 5.0 else ((0.8 + (1.0 - 0.8)*(x - 5.0)/(6.0 - 5.0)) if x <= 6.0 else (1.0)))))),"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
