name,group,min,max,unit
Thermal Efficiency,Technical,30.8,36.17,%
Discharge Burnup,Technical,46.5,55.0,MWD/kgHM
Capital Investment Budgeted,Economic,1825.0,6050.0,USD2020/kWe
Operative + Fuel Costs,Economic,20.0,72.0,USD2020/MW_h
Percived Safety,Social,0.0,2.0,Score
Nuclear Waste,Social,5.88,27.71,tons/yr
Electricity Market Benefit,Social,0.0,49.0,EUR/MW_h
GHGe Benefit,Social,0.021,9.07,MtonCO2-eq/yr
Load following Capabilities,Technical,0.21,4.25,(%Pnom)/min
Net Power Output,Technical,300.0,1630.0,MW_e
Design Maturity,Feasibility,1.0,5.0,Score
Licensing Status,Feasibility,1.0,5.0,Score
Supplier Availbility,Feasibility,0.0,1.0,Score
Design Complexity,Economic,0.0,1.0,Score
Construction Complexity,Economic,0.0,1.0,Score
