code,a
b_E1_E2,0.9858439201472684
b_E1_E3,0.9858439201472684
b_E1_E4,1.749796814265508
w_E4_E2,1.4285714285714286
w_E4_E3,5.083087642292144
b_F1_F2,5.5555555555555545
b_F1_F3,5.5555555555555545
w_F2_F3,1.6666666666666667
b_T2_T1,6.344057033542339
b_T2_T3,1.1015147077381329
b_T2_T4,6.681779837987511
w_T1_T3,9.019375672759635
w_T1_T4,14.131578948674216
b_S4_S1,1.0438685769461624
b_S4_S2,1.0508617065994115
b_S4_S3,1.6244314489928522
w_S3_S1,4.629629629629631
w_S3_S2,4.8367346938756945
bb_S4_E1,1.0395280542633643
bb_S4_F1,1.0508617065994115
bb_S4_T2,1.5926102882624618
wb_T2_E1,1.7249772947164743
wb_T2_F1,1.4705882352941173
bw_F2_E4,3.3333333333333335
bw_F2_T1,3.3333333333333335
bw_F2_S3,3.3333333333333335
ww_T1_E4,10.846276932930413
ww_T1_S3,8.83018816048423
