Criterion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Criterion 6,Criterion 7,Criterion 8,Criterion 9,Criterion 10,Criterion 11,Criterion 12,Criterion 13,Criterion 14,Criterion 15,z
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.385,0.074,0.034,0.043,0.04,0.035,0.012,0.002,0.029,0.03,0.022,0.104,0.095,0.053,0.04,7.443577643924246
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.533,0.047,0.232,0.06,0.001,0.001,0.001,0.004,0.04,0.042,0.03,0.001,0.001,0.006,0.001,7.4435776717449444
0.085,0.011,0.006,0.009,0.041,0.08,0.078,0.013,0.006,0.333,0.078,0.079,0.079,0.052,0.05,7.447071523482674
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.607,0.054,0.054,0.069,0.001,0.001,0.001,0.004,0.046,0.118,0.035,0.001,0.001,0.006,0.001,7.443577671745216
0.011,0.001,0.001,0.001,0.001,0.001,0.001,0.568,0.002,0.395,0.001,0.001,0.001,0.001,0.013,7.44357767174615
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,33.281352149268976
0.652,0.058,0.058,0.074,0.001,0.002,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001,7.443577671745071
