name,group,elicited_points,confidence,elicitation_meta
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [6000.0, 0.75], [8000.0, 0.5], [10000.0, 0.25], [14000.0, 0.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 14000.0, ""x0"": 8000.0, ""x025"": 10000.0, ""x075"": 6000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Operative + Fuel Costs,Economic,"[[18.0, 1.0], [22.0, 0.5], [26.0, 0.25], [30.0, 0.0]]",3,
Percived Safety,Social,"[[0.0, 0.0], [1.0, 0.75], [2.0, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
X Licensing Status,Feasibility,"[[1.0, 1.0], [2.0, 1.0], [3.0, 0.9], [5.0, 0.5], [4.0, 0.3], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
X Construction Complexity,Economic,"[[1.0, 0.0], [2.0, 0.4], [3.0, 0.4], [4.0, 0.4], [5.0, 0.7], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[0.0, 0.0], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
X Design Maturity,Feasibility,"[[1.0, 1.0], [2, 0.8], [3.5, 0.2], [5.0, 0.15], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 0.0], [2.666666666666667, 0.33], [4.333333333333334, 0.66], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
GHGe Benefit,Social,"[[0.53, 0.0], [2.9, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Net Power Output,Technical,"[[300.0, 0.0], [1630.0, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Load following Capabilities,Technical,"[[0.21, 0.0], [2.5, 0.75], [4.25, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 2.5, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
Electricity Market Benefit,Social,"[[24.0, 0.0], [49.0, 1.0]]",3,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Monotone Spline (PCHIP)"", ""fit_params"": {}}"
