Capital Investment Budgeted,Construction Complexity,Design Complexity,Operative + Fuel Costs,Design Maturity,Licensing Status,Supplier Availbility,Discharge Burnup,Load following Capabilities,Net Power Output,Thermal Efficiency,Electricity Market Benefit,GHGe Benefit,Nuclear Waste,Percived Safety
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.438,0.036,0.036,0.045,0.001,0.001,0.001,0.012,0.035,0.312,0.073,0.001,0.001,0.006,0.001
0.632,0.072,0.072,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.416,0.148,0.289,0.047,0.001,0.001,0.001,0.003,0.031,0.033,0.024,0.001,0.001,0.004,0.001
0.613,0.055,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.067,0.001
0.639,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.028,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.515,0.257,0.046,0.058,0.001,0.001,0.001,0.004,0.039,0.041,0.029,0.001,0.001,0.005,0.001
0.235,0.018,0.018,0.023,0.001,0.001,0.001,0.02,0.019,0.17,0.489,0.001,0.001,0.002,0.001
0.288,0.291,0.286,0.028,0.001,0.016,0.036,0.001,0.024,0.015,0.01,0.001,0.001,0.001,0.001
0.095,0.152,0.344,0.337,0.001,0.001,0.001,0.028,0.035,0.001,0.001,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.64,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.07,0.037,0.001,0.001,0.007,0.001
0.633,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.081,0.036,0.001,0.001,0.007,0.001
0.58,0.052,0.163,0.065,0.001,0.001,0.001,0.004,0.044,0.046,0.033,0.001,0.001,0.006,0.001
0.067,0.004,0.004,0.006,0.001,0.001,0.001,0.028,0.005,0.225,0.652,0.001,0.001,0.002,0.001
0.629,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.086,0.036,0.001,0.001,0.007,0.001
0.649,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.052,0.037,0.001,0.001,0.013,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.067,0.004,0.004,0.006,0.001,0.001,0.001,0.028,0.005,0.225,0.653,0.001,0.001,0.002,0.001
0.606,0.054,0.054,0.068,0.003,0.001,0.001,0.004,0.046,0.085,0.035,0.003,0.003,0.006,0.031
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.638,0.079,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.02,0.413,0.407,0.036,0.001,0.03,0.001,0.001,0.001,0.015,0.009,0.001,0.06,0.003,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.503,0.161,0.158,0.057,0.001,0.001,0.001,0.003,0.038,0.04,0.029,0.001,0.001,0.005,0.001
0.6,0.053,0.053,0.068,0.001,0.033,0.001,0.004,0.046,0.048,0.034,0.001,0.001,0.056,0.001
0.264,0.021,0.021,0.026,0.001,0.001,0.001,0.019,0.022,0.16,0.46,0.001,0.001,0.002,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.137,0.01,0.01,0.013,0.001,0.001,0.001,0.025,0.011,0.202,0.584,0.001,0.001,0.002,0.001
0.455,0.04,0.04,0.051,0.001,0.001,0.001,0.003,0.034,0.083,0.026,0.198,0.001,0.064,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.614,0.055,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.065,0.001
0.641,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.068,0.037,0.001,0.001,0.007,0.001
0.649,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.057,0.037,0.001,0.001,0.008,0.001
0.022,0.001,0.001,0.001,0.001,0.001,0.001,0.029,0.001,0.243,0.693,0.001,0.001,0.002,0.001
0.537,0.08,0.193,0.06,0.001,0.001,0.001,0.004,0.041,0.042,0.031,0.001,0.001,0.006,0.001
0.645,0.058,0.058,0.073,0.001,0.013,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.018,0.001,0.784,0.064,0.001,0.001,0.001,0.003,0.001,0.023,0.099,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.65,0.058,0.058,0.073,0.001,0.001,0.005,0.005,0.05,0.052,0.037,0.001,0.001,0.007,0.001
0.011,0.005,0.001,0.102,0.001,0.001,0.001,0.387,0.001,0.341,0.146,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.631,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.04,0.001
0.611,0.119,0.054,0.069,0.001,0.001,0.001,0.004,0.047,0.048,0.035,0.001,0.001,0.007,0.001
0.576,0.169,0.051,0.065,0.001,0.001,0.001,0.004,0.044,0.046,0.033,0.001,0.001,0.006,0.001
0.016,0.391,0.001,0.029,0.001,0.03,0.42,0.001,0.001,0.008,0.003,0.001,0.093,0.005,0.001
0.42,0.037,0.394,0.047,0.001,0.001,0.001,0.003,0.032,0.033,0.024,0.001,0.001,0.004,0.001
0.645,0.058,0.058,0.073,0.001,0.013,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.584,0.052,0.052,0.066,0.001,0.001,0.001,0.004,0.044,0.053,0.034,0.098,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.565,0.05,0.181,0.064,0.001,0.001,0.001,0.004,0.043,0.048,0.032,0.001,0.001,0.006,0.001
0.642,0.072,0.057,0.073,0.001,0.001,0.001,0.005,0.049,0.052,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.6,0.135,0.053,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.034,0.001,0.001,0.006,0.001
0.093,0.007,0.007,0.008,0.001,0.001,0.001,0.022,0.007,0.332,0.517,0.001,0.001,0.002,0.001
0.024,0.001,0.001,0.001,0.001,0.001,0.001,0.02,0.001,0.468,0.476,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.386,0.044,0.383,0.043,0.001,0.001,0.001,0.002,0.029,0.081,0.022,0.001,0.001,0.004,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.619,0.055,0.055,0.07,0.001,0.053,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.007,0.001
