Capital Investment Budgeted,Construction Complexity,Design Complexity,Operative + Fuel Costs,Design Maturity,Licensing Status,Supplier Availbility,Discharge Burnup,Load following Capabilities,Net Power Output,Thermal Efficiency,Electricity Market Benefit,GHGe Benefit,Nuclear Waste,Percived Safety
0.34,0.027,0.027,0.033,0.001,0.001,0.001,0.01,0.011,0.286,0.258,0.001,0.001,0.001,0.001
0.608,0.054,0.054,0.069,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.075,0.001
0.034,0.106,0.002,0.057,0.001,0.006,0.069,0.046,0.002,0.386,0.257,0.028,0.001,0.005,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.001,0.001,0.203,0.381,0.001,0.001,0.001,0.035,0.304,0.002,0.065,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.033,0.001,0.001,0.954,0.001,0.001,0.001,0.001
0.407,0.181,0.264,0.043,0.001,0.002,0.002,0.002,0.046,0.04,0.008,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.578,0.051,0.051,0.065,0.001,0.001,0.001,0.004,0.044,0.046,0.033,0.001,0.114,0.008,0.001
0.649,0.064,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.052,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.629,0.056,0.093,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.65,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.055,0.037,0.001,0.001,0.007,0.001
0.516,0.046,0.046,0.058,0.001,0.001,0.001,0.004,0.039,0.041,0.03,0.2,0.001,0.016,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.021,0.194,0.001,0.169,0.001,0.001,0.001,0.034,0.001,0.402,0.171,0.001,0.001,0.001,0.001
0.626,0.056,0.056,0.071,0.001,0.001,0.001,0.004,0.048,0.091,0.036,0.001,0.001,0.007,0.001
0.64,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.07,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.638,0.057,0.079,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.491,0.112,0.205,0.041,0.002,0.017,0.002,0.002,0.045,0.011,0.022,0.001,0.001,0.045,0.002
0.487,0.043,0.043,0.055,0.001,0.001,0.001,0.003,0.037,0.038,0.028,0.001,0.242,0.019,0.001
0.614,0.055,0.114,0.069,0.001,0.001,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.635,0.057,0.084,0.072,0.001,0.001,0.001,0.005,0.048,0.05,0.037,0.001,0.001,0.007,0.001
0.514,0.091,0.053,0.058,0.001,0.025,0.001,0.004,0.039,0.044,0.029,0.001,0.07,0.069,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.651,0.058,0.058,0.074,0.001,0.003,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.151,0.151,0.006,0.007,0.032,0.033,0.067,0.047,0.003,0.343,0.033,0.033,0.033,0.033,0.028
0.652,0.058,0.058,0.074,0.001,0.002,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.613,0.055,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.109,0.035,0.001,0.001,0.007,0.001
0.648,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.059,0.037,0.001,0.001,0.007,0.001
0.006,0.001,0.001,0.001,0.002,0.001,0.001,0.029,0.005,0.753,0.009,0.018,0.001,0.155,0.016
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.586,0.052,0.052,0.066,0.017,0.001,0.001,0.004,0.045,0.115,0.034,0.001,0.001,0.008,0.016
0.44,0.36,0.041,0.049,0.001,0.002,0.001,0.003,0.033,0.036,0.025,0.001,0.001,0.005,0.001
0.649,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.056,0.037,0.001,0.001,0.007,0.001
0.543,0.216,0.048,0.061,0.001,0.001,0.001,0.004,0.041,0.043,0.031,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.63,0.056,0.091,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.56,0.058,0.165,0.063,0.007,0.005,0.004,0.004,0.043,0.044,0.032,0.002,0.004,0.006,0.004
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.532,0.047,0.047,0.06,0.001,0.001,0.001,0.004,0.04,0.042,0.03,0.001,0.178,0.014,0.001
0.637,0.057,0.08,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.602,0.077,0.108,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.006,0.001
0.191,0.015,0.015,0.018,0.001,0.001,0.001,0.022,0.016,0.184,0.531,0.001,0.001,0.002,0.001
0.651,0.06,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.216,0.017,0.017,0.021,0.001,0.001,0.001,0.021,0.018,0.176,0.507,0.001,0.001,0.002,0.001
0.646,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.062,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.525,0.047,0.047,0.059,0.001,0.049,0.149,0.004,0.04,0.041,0.03,0.001,0.001,0.005,0.001
0.073,0.005,0.005,0.006,0.001,0.001,0.001,0.027,0.005,0.223,0.647,0.001,0.001,0.002,0.001
0.398,0.032,0.033,0.039,0.001,0.001,0.001,0.009,0.033,0.215,0.232,0.001,0.001,0.003,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.648,0.065,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.052,0.037,0.001,0.001,0.007,0.001
0.633,0.056,0.056,0.071,0.001,0.032,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.612,0.117,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.007,0.001
0.651,0.058,0.058,0.074,0.003,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.107,0.008,0.008,0.01,0.001,0.001,0.001,0.026,0.008,0.212,0.613,0.001,0.001,0.002,0.001
0.623,0.056,0.101,0.07,0.001,0.001,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.633,0.087,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.03,0.016,0.006,0.088,0.029,0.476,0.155,0.084,0.003,0.001,0.024,0.015,0.001,0.07,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.639,0.057,0.078,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.616,0.055,0.055,0.07,0.001,0.057,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.007,0.001
0.594,0.053,0.143,0.067,0.001,0.001,0.001,0.004,0.045,0.047,0.034,0.001,0.001,0.006,0.001
0.02,0.001,0.001,0.018,0.001,0.001,0.003,0.037,0.001,0.502,0.398,0.004,0.006,0.004,0.004
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.024,0.001,0.001,0.043,0.001,0.001,0.001,0.028,0.001,0.736,0.157,0.001,0.001,0.002,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.02,0.001,0.001,0.001,0.001,0.001,0.001,0.036,0.001,0.433,0.501,0.001,0.001,0.001,0.001
0.63,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.084,0.036,0.001,0.001,0.007,0.001
0.142,0.011,0.011,0.013,0.001,0.001,0.001,0.024,0.011,0.2,0.579,0.001,0.001,0.002,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.021,0.011,0.009,0.007,0.006,0.003,0.007,0.042,0.001,0.664,0.209,0.007,0.006,0.003,0.005
0.628,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.088,0.036,0.001,0.001,0.007,0.001
0.616,0.055,0.055,0.07,0.001,0.057,0.001,0.004,0.047,0.049,0.035,0.002,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.053,0.038,0.001,0.001,0.007,0.001
0.032,0.03,0.002,0.288,0.001,0.001,0.001,0.019,0.002,0.511,0.109,0.001,0.001,0.002,0.001
0.145,0.051,0.011,0.014,0.001,0.009,0.006,0.022,0.012,0.181,0.524,0.001,0.001,0.002,0.02
0.628,0.056,0.093,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.084,0.01,0.01,0.007,0.001,0.001,0.001,0.07,0.005,0.482,0.317,0.001,0.001,0.008,0.001
0.307,0.025,0.025,0.054,0.001,0.001,0.001,0.021,0.025,0.265,0.258,0.001,0.001,0.014,0.001
0.636,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.048,0.05,0.037,0.027,0.001,0.007,0.001
0.643,0.057,0.057,0.073,0.001,0.001,0.015,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.018,0.001,0.001,0.275,0.001,0.001,0.001,0.016,0.001,0.45,0.231,0.001,0.001,0.001,0.001
0.62,0.055,0.055,0.07,0.001,0.001,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.057,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.632,0.057,0.057,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.031,0.001,0.007,0.001
0.519,0.048,0.046,0.058,0.024,0.014,0.002,0.004,0.039,0.085,0.03,0.011,0.011,0.009,0.099
0.619,0.055,0.055,0.07,0.001,0.001,0.001,0.004,0.047,0.101,0.036,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.602,0.054,0.054,0.068,0.001,0.001,0.001,0.004,0.046,0.126,0.035,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.426,0.181,0.243,0.048,0.001,0.001,0.001,0.003,0.032,0.033,0.024,0.001,0.001,0.004,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.602,0.054,0.054,0.068,0.001,0.001,0.001,0.004,0.046,0.125,0.035,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.543,0.048,0.216,0.061,0.001,0.001,0.001,0.004,0.041,0.043,0.031,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.022,0.011,0.013,0.105,0.001,0.027,0.001,0.018,0.001,0.474,0.285,0.001,0.001,0.039,0.001
0.461,0.041,0.041,0.052,0.033,0.036,0.141,0.003,0.035,0.037,0.026,0.069,0.019,0.005,0.001
0.602,0.054,0.132,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.006,0.001
0.643,0.057,0.057,0.073,0.001,0.001,0.001,0.005,0.049,0.066,0.037,0.001,0.001,0.007,0.001
0.623,0.056,0.056,0.07,0.001,0.001,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.052,0.001
0.649,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.057,0.037,0.001,0.001,0.007,0.001
0.767,0.038,0.038,0.043,0.001,0.001,0.001,0.002,0.02,0.084,0.002,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.601,0.073,0.073,0.068,0.001,0.001,0.001,0.004,0.046,0.048,0.035,0.001,0.001,0.047,0.001
0.628,0.056,0.056,0.071,0.001,0.039,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.112,0.008,0.008,0.023,0.001,0.001,0.001,0.025,0.009,0.207,0.599,0.001,0.001,0.002,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.021,0.001,0.003,0.001,0.001,0.001,0.001,0.017,0.001,0.47,0.085,0.004,0.096,0.275,0.022
0.41,0.409,0.036,0.046,0.001,0.001,0.001,0.003,0.031,0.032,0.023,0.001,0.001,0.004,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.639,0.057,0.057,0.072,0.001,0.022,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.629,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.043,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.629,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.043,0.001
0.613,0.055,0.055,0.069,0.001,0.001,0.001,0.004,0.047,0.11,0.035,0.001,0.001,0.007,0.001
0.579,0.033,0.274,0.038,0.045,0.002,0.002,0.001,0.016,0.005,0.001,0.001,0.001,0.001,0.001
0.461,0.335,0.041,0.052,0.001,0.001,0.001,0.003,0.035,0.036,0.026,0.001,0.001,0.005,0.001
0.457,0.04,0.04,0.051,0.001,0.029,0.273,0.003,0.035,0.036,0.026,0.001,0.001,0.005,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.506,0.27,0.045,0.057,0.001,0.001,0.001,0.003,0.038,0.04,0.029,0.001,0.001,0.005,0.001
0.393,0.037,0.036,0.044,0.045,0.036,0.004,0.002,0.03,0.063,0.022,0.024,0.026,0.022,0.216
0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.096,0.537,0.252,0.104,0.001,0.001,0.001,0.001
0.621,0.055,0.104,0.07,0.001,0.001,0.001,0.004,0.047,0.049,0.036,0.001,0.001,0.007,0.001
0.606,0.054,0.054,0.068,0.001,0.046,0.001,0.004,0.046,0.067,0.035,0.009,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.647,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.015,0.001
0.356,0.112,0.042,0.04,0.19,0.03,0.024,0.002,0.027,0.028,0.02,0.001,0.083,0.045,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.059,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.639,0.078,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.058,0.059,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.643,0.057,0.057,0.073,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.022,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.053,0.038,0.001,0.001,0.007,0.001
0.46,0.337,0.041,0.052,0.001,0.001,0.001,0.003,0.035,0.036,0.026,0.001,0.001,0.005,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.025,0.001,0.001,0.002,0.001,0.001,0.001,0.026,0.001,0.678,0.251,0.001,0.008,0.002,0.001
0.646,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.001,0.011,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.053,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.581,0.096,0.039,0.046,0.013,0.002,0.001,0.002,0.028,0.016,0.008,0.012,0.012,0.014,0.13
0.628,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.05,0.036,0.001,0.001,0.045,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.623,0.056,0.056,0.07,0.001,0.001,0.001,0.004,0.048,0.049,0.036,0.001,0.001,0.052,0.001
0.598,0.053,0.137,0.068,0.001,0.001,0.001,0.004,0.046,0.047,0.034,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.02,0.022,0.021,0.001,0.001,0.001,0.001,0.021,0.001,0.572,0.336,0.001,0.001,0.001,0.001
0.611,0.054,0.054,0.069,0.001,0.002,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.069,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.626,0.097,0.056,0.071,0.001,0.001,0.001,0.004,0.048,0.05,0.036,0.001,0.001,0.007,0.001
0.611,0.054,0.054,0.069,0.001,0.001,0.001,0.004,0.047,0.048,0.035,0.001,0.001,0.071,0.001
0.616,0.055,0.055,0.07,0.001,0.057,0.001,0.004,0.047,0.049,0.035,0.001,0.001,0.007,0.001
0.615,0.055,0.055,0.07,0.001,0.001,0.001,0.004,0.047,0.106,0.035,0.001,0.001,0.007,0.001
0.64,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.07,0.037,0.001,0.001,0.007,0.001
0.647,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.049,0.051,0.037,0.01,0.001,0.007,0.001
0.641,0.057,0.057,0.072,0.001,0.001,0.001,0.005,0.049,0.069,0.037,0.001,0.001,0.007,0.001
0.516,0.046,0.046,0.058,0.017,0.001,0.001,0.004,0.039,0.041,0.03,0.017,0.017,0.015,0.153
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.299,0.023,0.023,0.029,0.001,0.001,0.001,0.018,0.025,0.148,0.426,0.001,0.001,0.002,0.001
0.533,0.047,0.231,0.06,0.001,0.001,0.001,0.004,0.041,0.042,0.031,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.008,0.001
0.641,0.057,0.057,0.072,0.001,0.019,0.001,0.005,0.049,0.051,0.037,0.001,0.001,0.007,0.001
0.629,0.056,0.056,0.071,0.001,0.001,0.001,0.005,0.048,0.086,0.036,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.65,0.062,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.052,0.037,0.001,0.001,0.007,0.001
0.652,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.053,0.038,0.001,0.001,0.007,0.001
0.644,0.057,0.057,0.073,0.001,0.001,0.001,0.005,0.049,0.064,0.037,0.001,0.001,0.007,0.001
0.616,0.05,0.07,0.054,0.042,0.008,0.008,0.002,0.039,0.055,0.011,0.003,0.003,0.003,0.035
0.481,0.043,0.043,0.054,0.022,0.001,0.001,0.003,0.036,0.038,0.027,0.021,0.021,0.019,0.19
0.65,0.058,0.058,0.073,0.001,0.001,0.001,0.005,0.05,0.052,0.037,0.001,0.005,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.059,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.442,0.039,0.039,0.05,0.268,0.03,0.03,0.003,0.033,0.035,0.025,0.001,0.001,0.004,0.001
0.531,0.047,0.234,0.06,0.001,0.001,0.001,0.004,0.04,0.042,0.03,0.001,0.001,0.006,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.652,0.059,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.176,0.011,0.011,0.11,0.001,0.001,0.001,0.021,0.017,0.646,0.001,0.001,0.001,0.001,0.001
0.037,0.118,0.554,0.05,0.001,0.001,0.001,0.003,0.003,0.085,0.024,0.103,0.001,0.019,0.001
0.018,0.017,0.001,0.001,0.001,0.001,0.001,0.028,0.001,0.803,0.124,0.001,0.001,0.001,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
0.653,0.058,0.058,0.074,0.001,0.001,0.001,0.005,0.05,0.052,0.038,0.001,0.001,0.007,0.001
