code,inverse_value_function
b_T4_T1,2.0017221520190587
b_T4_T2,4.149666172106817
b_T4_T3,1.0
w_T2_T1,3.9056576897804987
w_T2_T3,2.043535479863001
b_E1_E4,3.9880358923230323
b_E1_E3,1.9980019980019983
b_E1_E2,3.9035152849842203
w_E4_E3,3.250115549326802
w_E4_E2,1.0
b_S1_S4,1.0
b_S1_S3,1.9980019980019978
b_S1_S2,1.9980019980019978
w_S3_S4,1.0
w_S3_S2,1.0
b_F1_F2,3.261392451507171
b_F1_F3,2.0
w_F3_F2,4.053629518530154
bb_F1_T4,3.326403326403326
bb_F1_E1,1.0
bb_F1_S1,2.0
wb_T4_E1,3.9035152849842203
wb_T4_S1,1.9980019980019978
bw_S3_T2,1.9980019980019983
bw_S3_E4,1.9980019980019983
bw_S3_F3,4.076297426917394
ww_F3_T2,4.32231228452002
ww_F3_E4,1.0
