Criterion 1,Criterion 2,Criterion 3,Criterion 4,Criterion 5,Criterion 6,Criterion 7,Criterion 8,Criterion 9,Criterion 10,Criterion 11,Criterion 12,Criterion 13,Criterion 14,Criterion 15,z
0.008,0.697,0.078,0.001,0.026,0.001,0.002,0.008,0.082,0.013,0.001,0.008,0.06,0.008,0.008,4.948381342655406
0.046,0.006,0.004,0.007,0.608,0.046,0.071,0.2,0.001,0.001,0.001,0.001,0.001,0.001,0.006,4.9483813405959225
0.012,0.097,0.177,0.001,0.044,0.002,0.028,0.014,0.106,0.023,0.189,0.015,0.001,0.001,0.29,4.948381342045
0.02,0.012,0.006,0.034,0.086,0.006,0.009,0.028,0.031,0.045,0.373,0.19,0.115,0.017,0.029,4.94838134122378
0.022,0.014,0.004,0.003,0.251,0.018,0.027,0.082,0.004,0.033,0.27,0.027,0.19,0.029,0.026,4.948381336129027
0.043,0.005,0.009,0.006,0.561,0.042,0.062,0.185,0.004,0.027,0.007,0.022,0.016,0.004,0.007,4.948381351539093
0.047,0.055,0.163,0.021,0.143,0.01,0.033,0.046,0.052,0.045,0.027,0.193,0.06,0.055,0.049,4.948381390686811
0.054,0.007,0.005,0.009,0.429,0.032,0.277,0.141,0.01,0.001,0.001,0.003,0.024,0.003,0.004,4.948381342051249
0.016,0.034,0.034,0.027,0.192,0.014,0.077,0.062,0.242,0.04,0.022,0.159,0.063,0.01,0.008,4.948381342060619
0.034,0.004,0.003,0.005,0.396,0.03,0.08,0.13,0.014,0.012,0.036,0.089,0.075,0.083,0.01,4.948381342457568
0.017,0.001,0.061,0.479,0.232,0.017,0.025,0.076,0.001,0.058,0.001,0.002,0.022,0.002,0.006,4.948381342060859
0.044,0.006,0.005,0.007,0.572,0.043,0.063,0.188,0.047,0.01,0.003,0.001,0.003,0.003,0.006,4.948381342060383
0.01,0.001,0.001,0.001,0.166,0.044,0.013,0.755,0.001,0.001,0.001,0.001,0.001,0.001,0.004,4.948381340684662
