indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6
Design Maturity,4.333333333333333,6.0,4.333333333333333,2.6666666666666665,1.0,1.0
Licensing Status - CH,0.0,1.0,0.75,0.5,0.25,0.25
Design Complexity,6.0,6.0,6.0,1.0,1.0,1.0
Construction Complexity - CH,0.5,1.0,1.0,0.0,0.0,0.0
Supplier Availbility - CH,1.0,1.0,1.0,0.0,0.0,0.0
