name,group,elicited_points,value_function,elicitation_meta
Net Power Output,Technical-IT,"[[300.0, 0.0], [1000.0, 0.75], [1630.0, 1.0]]",lambda x: (-5.07220432032e-07)*x**2 + (0.00173081513307)*x**1 + (-0.473594701038),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Net Power Output,Technical-CH,"[[300.0, 0.0], [1630.0, 1.0]]",lambda x: (0.000751879699248)*x**1 + (-0.225563909774),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Net Power Output,Technical-FR,"[[300.0, 0.0], [1630.0, 1.0]]",lambda x: (0.000751879699248)*x**1 + (-0.225563909774),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Net Power Output,Technical-PO,"[[300.0, 0.0], [1630.0, 1.0]]",lambda x: (0.000751879699248)*x**1 + (-0.225563909774),"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
