indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6
Design Maturity,6.0,4.333333333333333,6.0,2.6666666666666665,1.0,1.0
Licensing Status - PO,0.6666666666666667,1.0,1.0,0.3333333333333333,0.0,0.0
Design Complexity,4.333333333333333,6.0,4.333333333333333,1.0,2.6666666666666665,1.0
Construction Complexity - PO,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333,1.0
Supplier Availbility - PO,0.0,1.0,0.75,0.5,0.25,0.25
