name,group,min,max,unit
GHGe Benefit,Social-IT,0.021,9.07,MtonCO2-eq/yr
GHGe Benefit,Social-PO,0.021,9.07,MtonCO2-eq/yr
GHGe Benefit,Social-CH,0.021,9.07,MtonCO2-eq/yr
GHGe Benefit,Social-FR,0.021,9.07,MtonCO2-eq/yr
