name,group,min,max,unit
Load following Capabilities,Technical-IT,0.21,4.25,(%Pnom)/min
Load following Capabilities,Technical-PO,0.21,4.25,(%Pnom)/min
Load following Capabilities,Technical-CH,0.21,4.25,(%Pnom)/min
Load following Capabilities,Technical-FR,0.21,4.25,(%Pnom)/min
