timestamp,flow_mw
2023-01-01 00:00:00+00:00,-3116.0
2023-01-01 00:15:00+00:00,-3036.0
2023-01-01 00:30:00+00:00,-2822.0
2023-01-01 00:45:00+00:00,-3235.0
2023-01-01 01:00:00+00:00,-3121.0
2023-01-01 01:15:00+00:00,-3394.0
2023-01-01 01:30:00+00:00,-3370.0
2023-01-01 01:45:00+00:00,-2636.0
2023-01-01 02:00:00+00:00,-3063.0
2023-01-01 02:15:00+00:00,-2856.0
2023-01-01 02:30:00+00:00,-2893.0
2023-01-01 02:45:00+00:00,-2929.0
2023-01-01 03:00:00+00:00,-2462.0
2023-01-01 03:15:00+00:00,-2627.0
2023-01-01 03:30:00+00:00,-3405.0
2023-01-01 03:45:00+00:00,-3293.0
2023-01-01 04:00:00+00:00,-3042.0
2023-01-01 04:15:00+00:00,-3145.0
2023-01-01 04:30:00+00:00,-3284.0
2023-01-01 04:45:00+00:00,-3554.0
2023-01-01 05:00:00+00:00,-3563.0
2023-01-01 05:15:00+00:00,-3379.0
2023-01-01 05:30:00+00:00,-3160.0
2023-01-01 05:45:00+00:00,-3011.0
2023-01-01 06:00:00+00:00,-2158.0
2023-01-01 06:15:00+00:00,-2081.0
2023-01-01 06:30:00+00:00,-1891.0
2023-01-01 06:45:00+00:00,-1812.0
2023-01-01 07:00:00+00:00,-2191.0
2023-01-01 07:15:00+00:00,-2971.0
2023-01-01 07:30:00+00:00,-3229.0
2023-01-01 07:45:00+00:00,-3339.0
2023-01-01 08:00:00+00:00,-3248.0
2023-01-01 08:15:00+00:00,-3763.0
2023-01-01 08:30:00+00:00,-4092.0
2023-01-01 08:45:00+00:00,-3967.0
2023-01-01 09:00:00+00:00,-3774.0
2023-01-01 09:15:00+00:00,-4192.0
2023-01-01 09:30:00+00:00,-4372.0
2023-01-01 09:45:00+00:00,-4981.0
2023-01-01 10:00:00+00:00,-4200.0
2023-01-01 10:15:00+00:00,-4333.0
2023-01-01 10:30:00+00:00,-3954.0
2023-01-01 10:45:00+00:00,-4310.0
2023-01-01 11:00:00+00:00,-4358.0
2023-01-01 11:15:00+00:00,-4203.0
2023-01-01 11:30:00+00:00,-4001.0
2023-01-01 11:45:00+00:00,-4083.0
2023-01-01 12:00:00+00:00,-4265.0
2023-01-01 12:15:00+00:00,-4044.0
2023-01-01 12:30:00+00:00,-4208.0
2023-01-01 12:45:00+00:00,-4316.0
2023-01-01 13:00:00+00:00,-4579.0
2023-01-01 13:15:00+00:00,-5054.0
2023-01-01 13:30:00+00:00,-4994.0
2023-01-01 13:45:00+00:00,-5815.0
2023-01-01 14:00:00+00:00,-6090.0
2023-01-01 14:15:00+00:00,-6077.0
2023-01-01 14:30:00+00:00,-6582.0
2023-01-01 14:45:00+00:00,-6175.0
2023-01-01 15:00:00+00:00,-6713.0
2023-01-01 15:15:00+00:00,-7444.0
2023-01-01 15:30:00+00:00,-7564.0
2023-01-01 15:45:00+00:00,-7505.0
2023-01-01 16:00:00+00:00,-7699.0
2023-01-01 16:15:00+00:00,-7880.0
2023-01-01 16:30:00+00:00,-7468.0
2023-01-01 16:45:00+00:00,-7487.0
2023-01-01 17:00:00+00:00,-7787.0
2023-01-01 17:15:00+00:00,-7561.0
2023-01-01 17:30:00+00:00,-7343.0
2023-01-01 17:45:00+00:00,-7500.0
2023-01-01 18:00:00+00:00,-6280.0
2023-01-01 18:15:00+00:00,-5761.0
2023-01-01 18:30:00+00:00,-5308.0
2023-01-01 18:45:00+00:00,-5392.0
2023-01-01 19:00:00+00:00,-6110.0
2023-01-01 19:15:00+00:00,-7806.0
2023-01-01 19:30:00+00:00,-8144.0
2023-01-01 19:45:00+00:00,-8288.0
