indicator, APR1400, EPR1750, AP1000, BWRX300, RollsRoyceSMR, NuScaleVOYGR6
Design Maturity,4.75,6.0,3.5,2.25,1.0,1.0
Licensing Status - FR,0.6666666666666667,1.0,0.6666666666666667,0.3333333333333333,0.0,0.0
Design Complexity,4.0,6.0,5.0,1.0,3.0,2.0
Construction Complexity - FR,0.6,1.0,0.8,0.3999999999999999,0.0,0.1999999999999999
Supplier Availbility - FR,0.0,1.0,0.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
