best,C_1_1,C_1_2,5.44,G1
best,C_1_1,C_1_3,3.52,G1
worst,C_1_3,C_1_1,2.36,G1
worst,C_1_3,C_1_2,4.84,G1
best,C_1_1,C_2_1,4.6,G2
best,C_1_1,C_2_2,3.0,G2
best,C_1_1,C_2_3,4.64,G2
worst,C_2_2,C_2_1,3.32,G2
worst,C_2_2,C_2_3,4.4,G2
best,C_3_2,C_3_1,3.96,G3
best,C_3_2,C_3_3,3.0,G3
worst,C_3_3,C_3_1,2.12,G3
worst,C_3_3,C_3_2,3.88,G3
best,C_4_1,C_4_2,4.52,G4
best,C_4_1,C_4_3,2.8,G4
worst,C_4_3,C_4_1,2.76,G4
worst,C_4_3,C_4_2,1.72,G4
best,C_1_1,C_3_2,5.84,Between-groups-B
best,C_1_1,C_4_1,3.88,Between-groups-B
worst,C_4_1,C_1_1,3.24,Between-groups-B
worst,C_4_1,C_1_1,2.24,Between-groups-B
worst,C_4_1,C_3_2,1.72,Between-groups-B
best,C_2_2,C_1_3,5.4,Between-groups-W
best,C_2_2,C_3_3,4.16,Between-groups-W
best,C_2_2,C_4_3,3.32,Between-groups-W
worst,C_4_3,C_1_3,2.12,Between-groups-W
worst,C_4_3,C_2_2,2.04,Between-groups-W
worst,C_4_3,C_3_3,3.36,Between-groups-W
