name,group,elicited_points,value_function,elicitation_meta
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([30.8, 36.17], [0.0, 1.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([46.5, 55.0], [0.0, 1.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [6000.0, 0.75], [8000.0, 0.5], [10000.0, 0.25], [14000.0, 0.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([4000.0, 6000.0, 8000.0, 10000.0, 14000.0], [1.0, 0.75, 0.5, 0.25, 0.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 14000.0, ""x0"": 8000.0, ""x025"": 10000.0, ""x075"": 6000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [30.0, 0.5], [35.0, 0.25], [50.0, 0.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([20.0, 30.0, 35.0, 50.0], [1.0, 0.5, 0.25, 0.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 50.0, ""x0"": 30.0, ""x025"": 35.0, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Percived Safety,Social,"[[0.0, 0.0], [1.0, 0.75], [2.0, 1.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([0.0, 1.0, 2.0], [0.0, 0.75, 1.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Nuclear Waste,Social,"[[5.88, 1.0], [27.71, 0.0]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([5.88, 27.71], [1.0, 0.0], extrapolate=True): float(_p(x))","{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}}"
Licensing Status,Feasibility,"[[0.0, 1.0], [0.3333333333333333, 0.9], [0.6666666666666666, 0.5], [1.0, 0.3]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([0.0, 0.3333333333333333, 0.6666666666666666, 1.0], [1.0, 0.9, 0.5, 0.3], extrapolate=True): float(_p(x))","{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[0.0, 0.0], [1, 0.4], [3, 0.4], [5, 0.6], [6, 1.0]]","","{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[0.0, 0.0], [1.0, 0.6]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([0.0, 1.0], [0.8, 0.6], extrapolate=True): float(_p(x))","{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Maturity,Feasibility,"[[1.0, 1.0], [2.666666666666667, 0.8], [4.333333333333334, 0.2], [6.0, 0.15]]","lambda x, _p=__import__('scipy.interpolate').PchipInterpolator([1.0, 2.666666666666667, 4.333333333333334, 6.0], [1.0, 0.8, 0.2, 0.15], extrapolate=True): float(_p(x))","{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
