"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"24.04.2024 16:00 - 24.04.2024 17:00","22319","22123"
"24.04.2024 17:00 - 24.04.2024 18:00","22081","22007"
"24.04.2024 18:00 - 24.04.2024 19:00","22531","22195"
"24.04.2024 19:00 - 24.04.2024 20:00","23110","22590"
"24.04.2024 20:00 - 24.04.2024 21:00","23213","22913"
"24.04.2024 21:00 - 24.04.2024 22:00","22118","21674"
"24.04.2024 22:00 - 24.04.2024 23:00","20080","19880"
"24.04.2024 23:00 - 25.04.2024 00:00","18737","18603"
"25.04.2024 00:00 - 25.04.2024 01:00","17540","17571"
"25.04.2024 01:00 - 25.04.2024 02:00","17145","16913"
"25.04.2024 02:00 - 25.04.2024 03:00","16946","16632"
"25.04.2024 03:00 - 25.04.2024 04:00","16995","16728"
"25.04.2024 04:00 - 25.04.2024 05:00","17594","17130"
"25.04.2024 05:00 - 25.04.2024 06:00","18744","17724"
"25.04.2024 06:00 - 25.04.2024 07:00","21558","20188"
"25.04.2024 07:00 - 25.04.2024 08:00","22726","21994"
"25.04.2024 08:00 - 25.04.2024 09:00","22962","22491"
"25.04.2024 09:00 - 25.04.2024 10:00","22793","22128"
"25.04.2024 10:00 - 25.04.2024 11:00","22682","21631"
"25.04.2024 11:00 - 25.04.2024 12:00","22690","21692"
"25.04.2024 12:00 - 25.04.2024 13:00","22655","21519"
"25.04.2024 13:00 - 25.04.2024 14:00","22633","20919"
"25.04.2024 14:00 - 25.04.2024 15:00","21968","20591"
"25.04.2024 15:00 - 25.04.2024 16:00","22001","20692"
"25.04.2024 16:00 - 25.04.2024 17:00","22024","20767"
"25.04.2024 17:00 - 25.04.2024 18:00","21944","21263"
"25.04.2024 18:00 - 25.04.2024 19:00","22431","21345"
"25.04.2024 19:00 - 25.04.2024 20:00","23188","22203"
"25.04.2024 20:00 - 25.04.2024 21:00","23246","22905"
"25.04.2024 21:00 - 25.04.2024 22:00","22387","21730"
"25.04.2024 22:00 - 25.04.2024 23:00","20326","20009"
"25.04.2024 23:00 - 26.04.2024 00:00","18914","18573"
"26.04.2024 00:00 - 26.04.2024 01:00","17410","17565"
"26.04.2024 01:00 - 26.04.2024 02:00","16603","16998"
"26.04.2024 02:00 - 26.04.2024 03:00","16201","16713"
"26.04.2024 03:00 - 26.04.2024 04:00","16357","16752"
"26.04.2024 04:00 - 26.04.2024 05:00","16866","17154"
"26.04.2024 05:00 - 26.04.2024 06:00","18221","17756"
"26.04.2024 06:00 - 26.04.2024 07:00","21160","20024"
"26.04.2024 07:00 - 26.04.2024 08:00","22349","21727"
"26.04.2024 08:00 - 26.04.2024 09:00","22498","22002"
"26.04.2024 09:00 - 26.04.2024 10:00","22190","21466"
"26.04.2024 10:00 - 26.04.2024 11:00","21429","20817"
"26.04.2024 11:00 - 26.04.2024 12:00","21302","20587"
"26.04.2024 12:00 - 26.04.2024 13:00","21243","21158"
"26.04.2024 13:00 - 26.04.2024 14:00","21402","21022"
"26.04.2024 14:00 - 26.04.2024 15:00","21019","20318"
"26.04.2024 15:00 - 26.04.2024 16:00","20910","20812"
"26.04.2024 16:00 - 26.04.2024 17:00","20954","20880"
"26.04.2024 17:00 - 26.04.2024 18:00","21127","21148"
"26.04.2024 18:00 - 26.04.2024 19:00","21563","21238"
"26.04.2024 19:00 - 26.04.2024 20:00","22267","21605"
"26.04.2024 20:00 - 26.04.2024 21:00","22501","22055"
"26.04.2024 21:00 - 26.04.2024 22:00","21602","20821"
"26.04.2024 22:00 - 26.04.2024 23:00","19207","19023"
"26.04.2024 23:00 - 27.04.2024 00:00","17869","17774"
"27.04.2024 00:00 - 27.04.2024 01:00","16753","16845"
"27.04.2024 01:00 - 27.04.2024 02:00","15900","16264"
"27.04.2024 02:00 - 27.04.2024 03:00","15363","15763"
"27.04.2024 03:00 - 27.04.2024 04:00","15334","15680"
"27.04.2024 04:00 - 27.04.2024 05:00","15355","15708"
"27.04.2024 05:00 - 27.04.2024 06:00","15119","15498"
"27.04.2024 06:00 - 27.04.2024 07:00","16483","16241"
"27.04.2024 07:00 - 27.04.2024 08:00","17561","17346"
"27.04.2024 08:00 - 27.04.2024 09:00","18440","18371"
"27.04.2024 09:00 - 27.04.2024 10:00","18384","18530"
"27.04.2024 10:00 - 27.04.2024 11:00","18087","18160"
"27.04.2024 11:00 - 27.04.2024 12:00","17967","18430"
"27.04.2024 12:00 - 27.04.2024 13:00","17745","18789"
"27.04.2024 13:00 - 27.04.2024 14:00","17496","18694"
"27.04.2024 14:00 - 27.04.2024 15:00","17152","17779"
"27.04.2024 15:00 - 27.04.2024 16:00","17229","17626"
"27.04.2024 16:00 - 27.04.2024 17:00","17417","17283"
"27.04.2024 17:00 - 27.04.2024 18:00","17574","17732"
"27.04.2024 18:00 - 27.04.2024 19:00","17829","17925"
"27.04.2024 19:00 - 27.04.2024 20:00","18306","18367"
"27.04.2024 20:00 - 27.04.2024 21:00","18687","18837"
"27.04.2024 21:00 - 27.04.2024 22:00","18106","18009"
"27.04.2024 22:00 - 27.04.2024 23:00","16722","16758"
"27.04.2024 23:00 - 28.04.2024 00:00","15407","15604"
"28.04.2024 00:00 - 28.04.2024 01:00","14309","14608"
"28.04.2024 01:00 - 28.04.2024 02:00","13666","14016"
"28.04.2024 02:00 - 28.04.2024 03:00","13380","13714"
"28.04.2024 03:00 - 28.04.2024 04:00","13191","13582"
"28.04.2024 04:00 - 28.04.2024 05:00","13194","13508"
"28.04.2024 05:00 - 28.04.2024 06:00","13035","13228"
"28.04.2024 06:00 - 28.04.2024 07:00","13716","13617"
"28.04.2024 07:00 - 28.04.2024 08:00","14509","14624"
"28.04.2024 08:00 - 28.04.2024 09:00","15317","15607"
"28.04.2024 09:00 - 28.04.2024 10:00","15673","15711"
"28.04.2024 10:00 - 28.04.2024 11:00","15455","16256"
"28.04.2024 11:00 - 28.04.2024 12:00","15290","16348"
"28.04.2024 12:00 - 28.04.2024 13:00","15227","16180"
"28.04.2024 13:00 - 28.04.2024 14:00","15212","16175"
"28.04.2024 14:00 - 28.04.2024 15:00","14982","16144"
"28.04.2024 15:00 - 28.04.2024 16:00","14951","16597"
"28.04.2024 16:00 - 28.04.2024 17:00","15077","16551"
"28.04.2024 17:00 - 28.04.2024 18:00","15339","16608"
"28.04.2024 18:00 - 28.04.2024 19:00","15857","17041"
"28.04.2024 19:00 - 28.04.2024 20:00","16580","17539"
"28.04.2024 20:00 - 28.04.2024 21:00","17285","17934"
"28.04.2024 21:00 - 28.04.2024 22:00","17039","17301"
"28.04.2024 22:00 - 28.04.2024 23:00","16089","16381"
"28.04.2024 23:00 - 29.04.2024 00:00","15042","15288"
"29.04.2024 00:00 - 29.04.2024 01:00","14128","14511"
"29.04.2024 01:00 - 29.04.2024 02:00","13597","14133"
"29.04.2024 02:00 - 29.04.2024 03:00","13416","14101"
"29.04.2024 03:00 - 29.04.2024 04:00","13540","14136"
"29.04.2024 04:00 - 29.04.2024 05:00","13819","14543"
"29.04.2024 05:00 - 29.04.2024 06:00","15496","15117"
"29.04.2024 06:00 - 29.04.2024 07:00","18470","17448"
"29.04.2024 07:00 - 29.04.2024 08:00","19902","19448"
"29.04.2024 08:00 - 29.04.2024 09:00","20222","20270"
"29.04.2024 09:00 - 29.04.2024 10:00","20015","19857"
"29.04.2024 10:00 - 29.04.2024 11:00","19572","19671"
"29.04.2024 11:00 - 29.04.2024 12:00","19433","19807"
"29.04.2024 12:00 - 29.04.2024 13:00","19205","20014"
"29.04.2024 13:00 - 29.04.2024 14:00","19275","19962"
"29.04.2024 14:00 - 29.04.2024 15:00","19233","19544"
"29.04.2024 15:00 - 29.04.2024 16:00","19365","19638"
"29.04.2024 16:00 - 29.04.2024 17:00","19613","19967"
"29.04.2024 17:00 - 29.04.2024 18:00","19825","20557"
"29.04.2024 18:00 - 29.04.2024 19:00","20231","20698"
"29.04.2024 19:00 - 29.04.2024 20:00","20752","20982"
"29.04.2024 20:00 - 29.04.2024 21:00","21310","21214"
"29.04.2024 21:00 - 29.04.2024 22:00","20765","20103"
"29.04.2024 22:00 - 29.04.2024 23:00","18705","18360"
"29.04.2024 23:00 - 30.04.2024 00:00","17445","16879"
"30.04.2024 00:00 - 30.04.2024 01:00","16181","15850"
"30.04.2024 01:00 - 30.04.2024 02:00","15589","15254"
"30.04.2024 02:00 - 30.04.2024 03:00","15194","14942"
"30.04.2024 03:00 - 30.04.2024 04:00","15242","15039"
"30.04.2024 04:00 - 30.04.2024 05:00","15339","15267"
"30.04.2024 05:00 - 30.04.2024 06:00","16284","15507"
"30.04.2024 06:00 - 30.04.2024 07:00","19222","17665"
"30.04.2024 07:00 - 30.04.2024 08:00","20522","19384"
"30.04.2024 08:00 - 30.04.2024 09:00","20732","19878"
"30.04.2024 09:00 - 30.04.2024 10:00","20424","19440"
"30.04.2024 10:00 - 30.04.2024 11:00","19877","19079"
"30.04.2024 11:00 - 30.04.2024 12:00","19732","19197"
"30.04.2024 12:00 - 30.04.2024 13:00","19719","19220"
"30.04.2024 13:00 - 30.04.2024 14:00","19702","19083"
"30.04.2024 14:00 - 30.04.2024 15:00","19318","18768"
"30.04.2024 15:00 - 30.04.2024 16:00","19611","19059"
"30.04.2024 16:00 - 30.04.2024 17:00","19788","19351"
"30.04.2024 17:00 - 30.04.2024 18:00","20066","19762"
"30.04.2024 18:00 - 30.04.2024 19:00","20118","20169"
"30.04.2024 19:00 - 30.04.2024 20:00","20453","19965"
"30.04.2024 20:00 - 30.04.2024 21:00","20900","19938"
"30.04.2024 21:00 - 30.04.2024 22:00","20252","18951"
"30.04.2024 22:00 - 30.04.2024 23:00","18709","17191"
"30.04.2024 23:00 - 01.05.2024 00:00","17370","15765"
"01.05.2024 00:00 - 01.05.2024 01:00","15447","14847"
"01.05.2024 01:00 - 01.05.2024 02:00","14576","14466"
"01.05.2024 02:00 - 01.05.2024 03:00","14157","14006"
"01.05.2024 03:00 - 01.05.2024 04:00","13980","13945"
"01.05.2024 04:00 - 01.05.2024 05:00","13743","13760"
"01.05.2024 05:00 - 01.05.2024 06:00","13200","13143"
"01.05.2024 06:00 - 01.05.2024 07:00","13890","13379"
"01.05.2024 07:00 - 01.05.2024 08:00","14785","14431"
"01.05.2024 08:00 - 01.05.2024 09:00","15536","15165"
"01.05.2024 09:00 - 01.05.2024 10:00","15916","15887"
"01.05.2024 10:00 - 01.05.2024 11:00","15914","15879"
"01.05.2024 11:00 - 01.05.2024 12:00","15813","15617"
"01.05.2024 12:00 - 01.05.2024 13:00","15663","15341"
"01.05.2024 13:00 - 01.05.2024 14:00","15582","15346"
"01.05.2024 14:00 - 01.05.2024 15:00","15268","15298"
"01.05.2024 15:00 - 01.05.2024 16:00","15181","15433"
"01.05.2024 16:00 - 01.05.2024 17:00","15102","15715"
"01.05.2024 17:00 - 01.05.2024 18:00","15360","16357"
"01.05.2024 18:00 - 01.05.2024 19:00","15950","16281"
"01.05.2024 19:00 - 01.05.2024 20:00","16438","16271"
"01.05.2024 20:00 - 01.05.2024 21:00","17148","16628"
"01.05.2024 21:00 - 01.05.2024 22:00","16955","16396"
"01.05.2024 22:00 - 01.05.2024 23:00","15809","15331"
"01.05.2024 23:00 - 02.05.2024 00:00","14769","14108"
"02.05.2024 00:00 - 02.05.2024 01:00","13626","13245"
"02.05.2024 01:00 - 02.05.2024 02:00","13044","12658"
"02.05.2024 02:00 - 02.05.2024 03:00","12706","12374"
"02.05.2024 03:00 - 02.05.2024 04:00","12661","12307"
"02.05.2024 04:00 - 02.05.2024 05:00","12761","12543"
"02.05.2024 05:00 - 02.05.2024 06:00","13105","12615"
"02.05.2024 06:00 - 02.05.2024 07:00","14594","13737"
"02.05.2024 07:00 - 02.05.2024 08:00","15650","15259"
"02.05.2024 08:00 - 02.05.2024 09:00","16269","16073"
"02.05.2024 09:00 - 02.05.2024 10:00","16406","15941"
"02.05.2024 10:00 - 02.05.2024 11:00","16099","16088"
"02.05.2024 11:00 - 02.05.2024 12:00","15935","15867"
"02.05.2024 12:00 - 02.05.2024 13:00","16101","16037"
"02.05.2024 13:00 - 02.05.2024 14:00","16314","16654"
"02.05.2024 14:00 - 02.05.2024 15:00","16355","16548"
"02.05.2024 15:00 - 02.05.2024 16:00","16423","16718"
"02.05.2024 16:00 - 02.05.2024 17:00","16656","16704"
"02.05.2024 17:00 - 02.05.2024 18:00","16926","16987"
"02.05.2024 18:00 - 02.05.2024 19:00","17070","17444"
"02.05.2024 19:00 - 02.05.2024 20:00","17479","17428"
"02.05.2024 20:00 - 02.05.2024 21:00","18118","17616"
"02.05.2024 21:00 - 02.05.2024 22:00","17798","16988"
"02.05.2024 22:00 - 02.05.2024 23:00","16468","15829"
"02.05.2024 23:00 - 03.05.2024 00:00","15286","14478"
"03.05.2024 00:00 - 03.05.2024 01:00","14145","13450"
"03.05.2024 01:00 - 03.05.2024 02:00","13422","13004"
"03.05.2024 02:00 - 03.05.2024 03:00","13043","12676"
"03.05.2024 03:00 - 03.05.2024 04:00","12906","12569"
"03.05.2024 04:00 - 03.05.2024 05:00","12915","12485"
"03.05.2024 05:00 - 03.05.2024 06:00","12525","12138"
"03.05.2024 06:00 - 03.05.2024 07:00","13280","12478"
"03.05.2024 07:00 - 03.05.2024 08:00","14228","13338"
"03.05.2024 08:00 - 03.05.2024 09:00","15061","14093"
"03.05.2024 09:00 - 03.05.2024 10:00","15360","14263"
"03.05.2024 10:00 - 03.05.2024 11:00","15299","14610"
"03.05.2024 11:00 - 03.05.2024 12:00","15175","14686"
"03.05.2024 12:00 - 03.05.2024 13:00","15024","14653"
"03.05.2024 13:00 - 03.05.2024 14:00","15127","14754"
"03.05.2024 14:00 - 03.05.2024 15:00","14936","14843"
"03.05.2024 15:00 - 03.05.2024 16:00","14961","14738"
"03.05.2024 16:00 - 03.05.2024 17:00","15114","15002"
"03.05.2024 17:00 - 03.05.2024 18:00","15478","15312"
"03.05.2024 18:00 - 03.05.2024 19:00","15825","15995"
"03.05.2024 19:00 - 03.05.2024 20:00","16413","16115"
"03.05.2024 20:00 - 03.05.2024 21:00","16999","16568"
"03.05.2024 21:00 - 03.05.2024 22:00","16872","16391"
"03.05.2024 22:00 - 03.05.2024 23:00","15967","15438"
"03.05.2024 23:00 - 04.05.2024 00:00","14818","14323"
"04.05.2024 00:00 - 04.05.2024 01:00","13718","13465"
"04.05.2024 01:00 - 04.05.2024 02:00","13071","12872"
"04.05.2024 02:00 - 04.05.2024 03:00","12774","12667"
"04.05.2024 03:00 - 04.05.2024 04:00","12728","12602"
"04.05.2024 04:00 - 04.05.2024 05:00","12885","12520"
"04.05.2024 05:00 - 04.05.2024 06:00","13090","12452"
"04.05.2024 06:00 - 04.05.2024 07:00","14478","13213"
"04.05.2024 07:00 - 04.05.2024 08:00","15790","14492"
"04.05.2024 08:00 - 04.05.2024 09:00","16607","15253"
"04.05.2024 09:00 - 04.05.2024 10:00","16374","15592"
"04.05.2024 10:00 - 04.05.2024 11:00","16289","15745"
"04.05.2024 11:00 - 04.05.2024 12:00","16164","15885"
"04.05.2024 12:00 - 04.05.2024 13:00","15921","16069"
"04.05.2024 13:00 - 04.05.2024 14:00","16022","16243"
"04.05.2024 14:00 - 04.05.2024 15:00","15825","16409"
"04.05.2024 15:00 - 04.05.2024 16:00","15905","16398"
"04.05.2024 16:00 - 04.05.2024 17:00","16227","16671"
"04.05.2024 17:00 - 04.05.2024 18:00","16602","17036"
"04.05.2024 18:00 - 04.05.2024 19:00","16773","17498"
"04.05.2024 19:00 - 04.05.2024 20:00","17239","17434"
"04.05.2024 20:00 - 04.05.2024 21:00","17897","17703"
"04.05.2024 21:00 - 04.05.2024 22:00","17731","17308"
"04.05.2024 22:00 - 04.05.2024 23:00","16421","16160"
"04.05.2024 23:00 - 05.05.2024 00:00","15159","14722"
"05.05.2024 00:00 - 05.05.2024 01:00","13816","13708"
"05.05.2024 01:00 - 05.05.2024 02:00","13264","13109"
"05.05.2024 02:00 - 05.05.2024 03:00","12911","12681"
"05.05.2024 03:00 - 05.05.2024 04:00","12759","12535"
"05.05.2024 04:00 - 05.05.2024 05:00","12806","12297"
"05.05.2024 05:00 - 05.05.2024 06:00","12448","11786"
"05.05.2024 06:00 - 05.05.2024 07:00","13326","12192"
"05.05.2024 07:00 - 05.05.2024 08:00","14122","13086"
"05.05.2024 08:00 - 05.05.2024 09:00","14750","14276"
"05.05.2024 09:00 - 05.05.2024 10:00","15028","14828"
"05.05.2024 10:00 - 05.05.2024 11:00","15100","14765"
"05.05.2024 11:00 - 05.05.2024 12:00","15130","14813"
"05.05.2024 12:00 - 05.05.2024 13:00","15038","15042"
"05.05.2024 13:00 - 05.05.2024 14:00","15201","15714"
"05.05.2024 14:00 - 05.05.2024 15:00","15034","15651"
"05.05.2024 15:00 - 05.05.2024 16:00","15220","15683"
"05.05.2024 16:00 - 05.05.2024 17:00","15262","15608"
"05.05.2024 17:00 - 05.05.2024 18:00","15791","16172"
"05.05.2024 18:00 - 05.05.2024 19:00","16098","16739"
"05.05.2024 19:00 - 05.05.2024 20:00","16544","16962"
"05.05.2024 20:00 - 05.05.2024 21:00","17211","17203"
"05.05.2024 21:00 - 05.05.2024 22:00","17094","16731"
"05.05.2024 22:00 - 05.05.2024 23:00","16031","15737"
"05.05.2024 23:00 - 06.05.2024 00:00","14974","14527"
"06.05.2024 00:00 - 06.05.2024 01:00","14007","13644"
"06.05.2024 01:00 - 06.05.2024 02:00","13498","13218"
"06.05.2024 02:00 - 06.05.2024 03:00","13293","13041"
"06.05.2024 03:00 - 06.05.2024 04:00","13443","13025"
"06.05.2024 04:00 - 06.05.2024 05:00","13746","13357"
"06.05.2024 05:00 - 06.05.2024 06:00","15595","13917"
"06.05.2024 06:00 - 06.05.2024 07:00","18879","16608"
"06.05.2024 07:00 - 06.05.2024 08:00","20246","18792"
"06.05.2024 08:00 - 06.05.2024 09:00","20639","19640"
"06.05.2024 09:00 - 06.05.2024 10:00","20423","19481"
"06.05.2024 10:00 - 06.05.2024 11:00","20118","19189"
"06.05.2024 11:00 - 06.05.2024 12:00","20250","19636"
"06.05.2024 12:00 - 06.05.2024 13:00","20276","19780"
"06.05.2024 13:00 - 06.05.2024 14:00","20492","19811"
"06.05.2024 14:00 - 06.05.2024 15:00","20120","19861"
"06.05.2024 15:00 - 06.05.2024 16:00","20165","20032"
"06.05.2024 16:00 - 06.05.2024 17:00","20381","19922"
"06.05.2024 17:00 - 06.05.2024 18:00","20559","20370"
"06.05.2024 18:00 - 06.05.2024 19:00","20841","20370"
"06.05.2024 19:00 - 06.05.2024 20:00","21203","20953"
"06.05.2024 20:00 - 06.05.2024 21:00","21732","21321"
"06.05.2024 21:00 - 06.05.2024 22:00","21338","20267"
"06.05.2024 22:00 - 06.05.2024 23:00","19497","18410"
"06.05.2024 23:00 - 07.05.2024 00:00","17999","16934"
"07.05.2024 00:00 - 07.05.2024 01:00","16674","15881"
"07.05.2024 01:00 - 07.05.2024 02:00","16067","15354"
"07.05.2024 02:00 - 07.05.2024 03:00","15610","15028"
"07.05.2024 03:00 - 07.05.2024 04:00","15649","15045"
"07.05.2024 04:00 - 07.05.2024 05:00","15737","15202"
"07.05.2024 05:00 - 07.05.2024 06:00","16672","15612"
"07.05.2024 06:00 - 07.05.2024 07:00","19715","17979"
"07.05.2024 07:00 - 07.05.2024 08:00","20923","19717"
"07.05.2024 08:00 - 07.05.2024 09:00","21176","20547"
"07.05.2024 09:00 - 07.05.2024 10:00","21026","20900"
"07.05.2024 10:00 - 07.05.2024 11:00","20746","20485"
"07.05.2024 11:00 - 07.05.2024 12:00","20773","20736"
"07.05.2024 12:00 - 07.05.2024 13:00","20769","20530"
"07.05.2024 13:00 - 07.05.2024 14:00","20941","20250"
"07.05.2024 14:00 - 07.05.2024 15:00","20528","19894"
"07.05.2024 15:00 - 07.05.2024 16:00","20606","20146"
"07.05.2024 16:00 - 07.05.2024 17:00","20580","20253"
"07.05.2024 17:00 - 07.05.2024 18:00","20726","20249"
"07.05.2024 18:00 - 07.05.2024 19:00","20949","20241"
"07.05.2024 19:00 - 07.05.2024 20:00","21250","20864"
"07.05.2024 20:00 - 07.05.2024 21:00","21907","21284"
"07.05.2024 21:00 - 07.05.2024 22:00","21598","20335"
"07.05.2024 22:00 - 07.05.2024 23:00","19715","18547"
"07.05.2024 23:00 - 08.05.2024 00:00","18181","17223"
"08.05.2024 00:00 - 08.05.2024 01:00","16152","16229"
"08.05.2024 01:00 - 08.05.2024 02:00","15570","15593"
"08.05.2024 02:00 - 08.05.2024 03:00","15237","15279"
"08.05.2024 03:00 - 08.05.2024 04:00","15253","15286"
"08.05.2024 04:00 - 08.05.2024 05:00","15568","15470"
"08.05.2024 05:00 - 08.05.2024 06:00","16624","15981"
"08.05.2024 06:00 - 08.05.2024 07:00","19502","18267"
"08.05.2024 07:00 - 08.05.2024 08:00","20811","20069"
"08.05.2024 08:00 - 08.05.2024 09:00","20915","20570"
"08.05.2024 09:00 - 08.05.2024 10:00","20657","20100"
"08.05.2024 10:00 - 08.05.2024 11:00","20311","19351"
"08.05.2024 11:00 - 08.05.2024 12:00","20235","19226"
"08.05.2024 12:00 - 08.05.2024 13:00","20218","19245"
"08.05.2024 13:00 - 08.05.2024 14:00","20212","18899"
"08.05.2024 14:00 - 08.05.2024 15:00","19846","18714"
"08.05.2024 15:00 - 08.05.2024 16:00","20005","19042"
"08.05.2024 16:00 - 08.05.2024 17:00","20283","19531"
"08.05.2024 17:00 - 08.05.2024 18:00","20543","19912"
"08.05.2024 18:00 - 08.05.2024 19:00","20940","20036"
"08.05.2024 19:00 - 08.05.2024 20:00","21258","20690"
"08.05.2024 20:00 - 08.05.2024 21:00","21454","21259"
"08.05.2024 21:00 - 08.05.2024 22:00","21086","20494"
"08.05.2024 22:00 - 08.05.2024 23:00","18944","18741"
"08.05.2024 23:00 - 09.05.2024 00:00","17455","17308"
"09.05.2024 00:00 - 09.05.2024 01:00","16319","16330"
"09.05.2024 01:00 - 09.05.2024 02:00","15591","15717"
"09.05.2024 02:00 - 09.05.2024 03:00","15361","15318"
"09.05.2024 03:00 - 09.05.2024 04:00","15277","15392"
"09.05.2024 04:00 - 09.05.2024 05:00","15640","15664"
"09.05.2024 05:00 - 09.05.2024 06:00","16690","16125"
"09.05.2024 06:00 - 09.05.2024 07:00","19366","18336"
"09.05.2024 07:00 - 09.05.2024 08:00","20289","20096"
"09.05.2024 08:00 - 09.05.2024 09:00","20668","20440"
"09.05.2024 09:00 - 09.05.2024 10:00","20414","19926"
"09.05.2024 10:00 - 09.05.2024 11:00","19696","19306"
"09.05.2024 11:00 - 09.05.2024 12:00","19605","19496"
"09.05.2024 12:00 - 09.05.2024 13:00","19471","19746"
"09.05.2024 13:00 - 09.05.2024 14:00","19368","19827"
"09.05.2024 14:00 - 09.05.2024 15:00","19327","19334"
"09.05.2024 15:00 - 09.05.2024 16:00","19536","19670"
"09.05.2024 16:00 - 09.05.2024 17:00","19751","20257"
"09.05.2024 17:00 - 09.05.2024 18:00","19976","20674"
"09.05.2024 18:00 - 09.05.2024 19:00","20552","21186"
"09.05.2024 19:00 - 09.05.2024 20:00","20931","21423"
"09.05.2024 20:00 - 09.05.2024 21:00","21500","21506"
"09.05.2024 21:00 - 09.05.2024 22:00","21192","20768"
"09.05.2024 22:00 - 09.05.2024 23:00","19039","19045"
"09.05.2024 23:00 - 10.05.2024 00:00","17531","17593"
"10.05.2024 00:00 - 10.05.2024 01:00","16378","16555"
"10.05.2024 01:00 - 10.05.2024 02:00","15761","15939"
"10.05.2024 02:00 - 10.05.2024 03:00","15395","15579"
"10.05.2024 03:00 - 10.05.2024 04:00","15381","15431"
"10.05.2024 04:00 - 10.05.2024 05:00","15668","15533"
"10.05.2024 05:00 - 10.05.2024 06:00","16700","15861"
"10.05.2024 06:00 - 10.05.2024 07:00","19522","18303"
"10.05.2024 07:00 - 10.05.2024 08:00","20470","19968"
"10.05.2024 08:00 - 10.05.2024 09:00","20726","20405"
"10.05.2024 09:00 - 10.05.2024 10:00","20567","20178"
"10.05.2024 10:00 - 10.05.2024 11:00","19919","19785"
"10.05.2024 11:00 - 10.05.2024 12:00","20031","19985"
"10.05.2024 12:00 - 10.05.2024 13:00","20041","19973"
"10.05.2024 13:00 - 10.05.2024 14:00","20107","20046"
"10.05.2024 14:00 - 10.05.2024 15:00","19785","19580"
"10.05.2024 15:00 - 10.05.2024 16:00","20087","19903"
"10.05.2024 16:00 - 10.05.2024 17:00","20194","19927"
"10.05.2024 17:00 - 10.05.2024 18:00","20305","20141"
"10.05.2024 18:00 - 10.05.2024 19:00","20524","20389"
"10.05.2024 19:00 - 10.05.2024 20:00","21215","20865"
"10.05.2024 20:00 - 10.05.2024 21:00","21550","21274"
"10.05.2024 21:00 - 10.05.2024 22:00","21051","20559"
"10.05.2024 22:00 - 10.05.2024 23:00","19159","18810"
"10.05.2024 23:00 - 11.05.2024 00:00","17615","17477"
"11.05.2024 00:00 - 11.05.2024 01:00","16442","16539"
"11.05.2024 01:00 - 11.05.2024 02:00","15696","15927"
"11.05.2024 02:00 - 11.05.2024 03:00","15149","15469"
"11.05.2024 03:00 - 11.05.2024 04:00","15003","15348"
"11.05.2024 04:00 - 11.05.2024 05:00","14955","15190"
"11.05.2024 05:00 - 11.05.2024 06:00","14947","15043"
"11.05.2024 06:00 - 11.05.2024 07:00","16488","15717"
"11.05.2024 07:00 - 11.05.2024 08:00","17670","16789"
"11.05.2024 08:00 - 11.05.2024 09:00","18750","17807"
"11.05.2024 09:00 - 11.05.2024 10:00","19169","18305"
"11.05.2024 10:00 - 11.05.2024 11:00","19178","18302"
"11.05.2024 11:00 - 11.05.2024 12:00","19031","18260"
"11.05.2024 12:00 - 11.05.2024 13:00","18960","18135"
"11.05.2024 13:00 - 11.05.2024 14:00","18941","17877"
"11.05.2024 14:00 - 11.05.2024 15:00","18057","17375"
"11.05.2024 15:00 - 11.05.2024 16:00","18015","17440"
"11.05.2024 16:00 - 11.05.2024 17:00","17912","17358"
"11.05.2024 17:00 - 11.05.2024 18:00","18132","17385"
"11.05.2024 18:00 - 11.05.2024 19:00","18264","17515"
"11.05.2024 19:00 - 11.05.2024 20:00","18600","17849"
"11.05.2024 20:00 - 11.05.2024 21:00","19003","18284"
"11.05.2024 21:00 - 11.05.2024 22:00","18679","17938"
"11.05.2024 22:00 - 11.05.2024 23:00","17370","16778"
"11.05.2024 23:00 - 12.05.2024 00:00","16166","15601"
"12.05.2024 00:00 - 12.05.2024 01:00","14391","14480"
"12.05.2024 01:00 - 12.05.2024 02:00","13802","13891"
"12.05.2024 02:00 - 12.05.2024 03:00","13481","13401"
"12.05.2024 03:00 - 12.05.2024 04:00","13397","13369"
"12.05.2024 04:00 - 12.05.2024 05:00","13159","13151"
"12.05.2024 05:00 - 12.05.2024 06:00","12862","12773"
"12.05.2024 06:00 - 12.05.2024 07:00","13417","13135"
"12.05.2024 07:00 - 12.05.2024 08:00","14280","13991"
"12.05.2024 08:00 - 12.05.2024 09:00","15175","14899"
"12.05.2024 09:00 - 12.05.2024 10:00","15132","15023"
"12.05.2024 10:00 - 12.05.2024 11:00","14353","15282"
"12.05.2024 11:00 - 12.05.2024 12:00","14397","15231"
"12.05.2024 12:00 - 12.05.2024 13:00","14898","15205"
"12.05.2024 13:00 - 12.05.2024 14:00","14293","15149"
"12.05.2024 14:00 - 12.05.2024 15:00","13814","14928"
"12.05.2024 15:00 - 12.05.2024 16:00","14323","14831"
"12.05.2024 16:00 - 12.05.2024 17:00","13978","15171"
"12.05.2024 17:00 - 12.05.2024 18:00","14227","16050"
"12.05.2024 18:00 - 12.05.2024 19:00","15789","16978"
